"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","林園","CO",0.99,0.95,0.89,0.89,0.89,0.86,0.86,0.84,0.85,0.79,1,1.25,1.09,0.97,0.73,0.53,0.47,0.42,0.4,0.38,0.51,0.57,0.54,0.56
"2018/01/01","林園","NOx",32,31,23,22,27,30,26,25,27,17,19,32,37,27,25,21,15,14,12,13,20,26,27,29
"2018/01/01","林園","O3",8.2,7.1,11,9.5,4.3,1.7,3.4,7.3,16,32,56,89,71,79,70,72,75,71,69,62,50,28,21,13
"2018/01/01","林園","PM10",122,133,122,128,116,104,103,108,116,129,133,146,130,119,83,79,76,75,76,89,98,124,114,110
"2018/01/01","林園","SO2",6.4,5.3,3.3,3.1,4,4.2,3.2,3,4,3.2,5.7,13,24,15,11,8.9,8.1,6.4,5.1,4.4,6.4,4.4,5.2,4.7
"2018/01/02","林園","CO",0.54,0.51,0.54,0.55,0.6,0.6,0.63,0.68,0.67,0.77,0.81,0.58,0.46,0.45,0.42,0.29,0.28,0.28,0.27,0.28,0.31,0.36,0.45,0.62
"2018/01/02","林園","NOx",26,23,28,26,33,31,25,30,33,36,37,22,15,15,13,11,11,12,11,12,13,17,21,29
"2018/01/02","林園","O3",14,11,5.5,6.8,9.3,14,12,11,22,39,47,56,66,80,84,74,69,66,64,60,55,45,29,18
"2018/01/02","林園","PM10",111,103,109,102,110,113,109,109,108,112,103,82,67,64,75,59,56,65,61,67,74,88,108,115
"2018/01/02","林園","SO2",5,4.8,4.7,4.8,7.1,7.4,4.7,4.5,7.4,12,21,14,6.8,5.6,5.8,4.3,3.2,5.2,4,3.9,4.7,5,3.8,4.3
"2018/01/03","林園","CO",0.68,0.72,0.7,0.66,0.64,0.62,0.6,0.68,0.64,0.59,0.56,0.45,0.62,NA,0.36,0.37,0.38,0.39,0.36,0.41,0.4,0.48,0.47,0.41
"2018/01/03","林園","NOx",29,28,26,24,23,22,33,28,21,19,20,17,29,NA,12,12,12,13,11,15,25,20,21,17
"2018/01/03","林園","O3",11,8,9.5,8.1,5.9,4.8,2,7,14,30,47,61,NA,73,81,78,77,72,67,60,45,41,38,41
"2018/01/03","林園","PM10",115,118,124,115,109,110,131,121,95,100,108,91,NA,82,72,65,68,63,66,77,79,78,93,96
"2018/01/03","林園","SO2",2.8,3.6,3.6,3.3,3.1,2.8,4.6,4.2,3.3,4.2,5.7,6.5,9.6,NA,6.2,5.7,5.2,5.7,4.2,5,9.5,4.1,4.2,3.8
"2018/01/04","林園","CO",0.45,0.38,0.35,0.37,0.36,0.36,0.38,0.45,0.47,0.44,0.32,0.33,0.49,0.43,0.4,0.45,0.5,0.48,0.57,0.62,0.64,0.49,0.52,0.42
"2018/01/04","林園","NOx",16,13,9.8,10,13,13,11,13,27,26,17,14,30,22,24,NA,32,27,23,29,31,23,23,17
"2018/01/04","林園","O3",39,47,46,36,35,33,31,26,29,34,46,60,57,59,49,51,40,34,31,26,16,18,17,20
"2018/01/04","林園","PM10",97,90,84,83,86,89,89,92,83,81,63,65,84,87,89,100,121,128,144,120,120,86,69,56
"2018/01/04","林園","SO2",4.5,3.6,2.7,2.1,2.7,2.9,2.4,2.3,4.4,3.8,3.3,3,7.6,7.1,7.6,4.9,5.3,3.1,2.8,3.1,2.6,2.1,4.3,2.5
"2018/01/05","林園","CO",0.41,0.38,0.38,0.38,0.4,0.32,0.31,0.42,0.49,0.43,0.39,0.35,0.41,0.46,0.35,0.42,0.45,0.5,0.59,0.72,0.71,0.7,0.69,0.91
"2018/01/05","林園","NOx",18,16,19,18,20,16,20,27,37,33,37,35,32,28,28,30,33,38,43,54,54,50,47,68
"2018/01/05","林園","O3",21,16,15,15,9.8,9.3,5.1,4.1,7.2,10,10,18,28,29,30,26,19,11,3.5,2.1,1.1,0.9,1.2,1.1
