"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","橋頭","CO",0.83,0.81,0.81,0.78,0.69,0.64,0.65,0.71,0.78,0.72,0.72,0.7,0.58,0.55,0.48,0.44,0.53,0.65,0.68,0.57,0.6,0.59,0.58,0.58
"2018/01/01","橋頭","NOx",17,17,18,17,17,16,17,22,22,21,17,15,13,12,12,12,23,19,21,18,19,20,17,17
"2018/01/01","橋頭","O3",13,11,9.6,8.3,8.1,11,8,8.2,13,23,39,58,67,74,70,66,55,51,42,38,30,24,22,19
"2018/01/01","橋頭","PM10",84,81,77,75,74,74,74,77,83,91,96,97,95,94,92,94,103,103,117,125,116,110,98,90
"2018/01/01","橋頭","SO2",2.1,1.5,1.7,1.6,1.8,1.6,1.7,2,2.6,2.9,2.9,3.3,2.6,2.6,3.5,5.6,2.9,2.5,2.4,2.2,2.5,3.1,3.5,3.5
"2018/01/02","橋頭","CO",0.6,0.61,0.61,0.55,0.52,0.58,0.92,1.22,0.99,0.8,0.7,0.55,0.52,0.49,0.41,0.41,0.49,0.52,0.63,0.67,0.8,0.67,0.56,0.51
"2018/01/02","橋頭","NOx",17,17,18,15,16,18,30,44,53,38,27,17,14,12,12,14,24,18,23,26,34,31,25,21
"2018/01/02","橋頭","O3",17,13,9.9,7.2,6.4,6.8,2.6,3.3,7.7,21,41,64,76,77,71,62,53,50,37,30,18,16,16,16
"2018/01/02","橋頭","PM10",83,80,84,84,75,68,76,90,99,118,123,104,89,84,78,75,80,91,106,113,112,112,116,119
"2018/01/02","橋頭","SO2",2.9,3,2.8,2.3,2,2.3,2.8,3.6,3.8,4.6,4.8,4.5,4.8,4.9,3.7,3.5,4,4.6,3.8,3.7,3.4,3,3.1,2.8
"2018/01/03","橋頭","CO",0.48,0.49,0.55,0.44,0.39,0.39,0.44,0.77,0.75,0.49,0.35,0.39,0.39,0.37,0.3,0.28,0.36,0.47,0.48,0.55,0.55,0.51,0.44,0.52
"2018/01/03","橋頭","NOx",19,23,23,24,26,26,24,40,54,48,20,21,19,18,14,12,17,18,20,27,31,27,23,23
"2018/01/03","橋頭","O3",13,6.5,7.4,4.2,2.2,1.5,2.2,2.8,4.2,17,38,44,60,74,65,63,56,51,44,35,29,30,34,29
"2018/01/03","橋頭","PM10",111,98,101,106,99,90,76,72,84,96,100,93,90,94,91,79,72,72,73,82,93,104,104,105
"2018/01/03","橋頭","SO2",2.4,2.1,2,2.2,2.6,1.9,1.6,2,2.9,4,4.1,6.4,5.4,4.2,3,2.9,3.2,3,3,3,3,3,2.9,2.6
"2018/01/04","橋頭","CO",0.45,0.35,0.32,0.43,0.47,0.52,0.52,0.85,0.79,0.54,0.43,0.43,0.42,0.44,0.43,0.45,0.52,0.64,0.6,0.46,0.42,0.39,0.42,0.41
"2018/01/04","橋頭","NOx",32,18,15,11,15,23,31,52,49,33,23,22,20,21,19,22,27,36,31,22,19,18,17,16
"2018/01/04","橋頭","O3",17,26,22,24,19,12,7.6,4.7,12,21,30,31,42,50,41,31,22,12,12,21,18,16,14,11
"2018/01/04","橋頭","PM10",106,NA,NA,102,106,108,100,94,103,114,109,94,85,96,107,104,110,117,101,69,53,49,52,54
"2018/01/04","橋頭","SO2",2.3,3.2,3.1,2.4,2.4,3.2,2.6,3.2,4,5.4,6.1,3.8,3.3,4.3,4.1,2.9,3,2.9,2.5,2.1,2.1,2,2.2,2
"2018/01/05","橋頭","CO",0.4,0.4,0.4,0.36,0.35,0.39,0.43,0.58,0.55,0.48,0.44,0.42,0.43,0.37,0.35,0.4,0.47,0.61,0.57,0.56,0.52,0.52,0.51,0.47
"2018/01/05","橋頭","NOx",15,17,14,14,17,17,25,32,32,35,30,25,27,25,24,26,31,39,36,39,37,37,34,36
"2018/01/05","橋頭","O3",8.4,4.9,6,4.8,3.5,3.2,1.6,2.1,3.6,5.5,9.7,17,21,23,24,19,13,7,4.7,1.8,1.6,1,1.2,1.1
"2018/01/05","橋頭","PM10",48,47,49,46,41,43,44,42,48,54,50,47,52,51,47,51,54,63,64,59,58,59,58,52
"2018/01/05","橋頭","SO2",2.3,1.2,1.2,1.1,1,1.2,1.3,1.4,1.8,2,2,2.3,2.2,2.1,2.1,2.6,2.8,3.3,3,3.5,3.3,2.7,2.4,2.4
"2018/01/06","橋頭","CO",0.41,0.41,0.41,0.35,0.37,0.42,0.48,0.56,0.49,0.47,0.51,0.68,0.58,0.69,0.69,0.59,0.61,0.64,0.59,0.6,0.53,0.46,0.51,0.54
"2018/01/06","橋頭","NOx",30,27,27,25,27,27,30,37,40,39,38,44,43,44,55,41,40,42,31,31,29,24,27,27
"2018/01/06","橋頭","O3",0.9,1,1.2,1.2,1,1.7,1.5,1.6,2.5,4.2,5.1,9.2,16,15,7.5,6.5,4.8,1.9,4.6,2.8,3.1,5.6,2.5,2.7
"2018/01/06","橋頭","PM10",44,37,37,36,33,34,35,34,31,28,29,47,65,71,76,76,69,64,61,59,54,51,53,41
"2018/01/06","橋頭","SO2",2,2.8,2.5,2.3,2.2,2,2.3,2.4,2.6,2.5,2.7,3.4,4.2,3,2.7,2.5,2.9,2.5,2.5,2.6,2.4,2.2,2.1,2.1
"2018/01/07","橋頭","CO",0.5,0.4,0.31,0.36,0.34,0.31,0.34,0.38,0.43,0.46,0.5,0.45,0.43,0.48,0.47,0.42,0.4,0.42,0.53,0.64,0.79,0.77,0.96,1.02
"2018/01/07","橋頭","NOx",24,19,12,12,11,10,10,12,15,15,17,13,11,14,13,15,12,14,20,25,30,29,39,41
"2018/01/07","橋頭","O3",4.6,8.1,13,12,13,18,15,12,9.7,13,18,31,44,48,57,51,51,41,22,15,13,16,4.4,2.1
"2018/01/07","橋頭","PM10",24,17,16,15,14,20,25,27,30,25,24,35,38,45,53,45,40,44,48,53,57,48,46,54
"2018/01/07","橋頭","SO2",1.8,1.3,1.1,1.1,1.3,1.3,1.1,1,1,1.1,1.4,1.5,1.7,3.3,3.2,4.3,2.9,1.7,2,2.8,2.1,2.1,2.4,2.4
"2018/01/08","橋頭","CO",0.81,0.72,0.48,0.44,0.42,0.41,0.48,1.25,1.72,0.68,0.59,0.38,0.32,0.24,0.22,0.27,0.3,0.3,0.34,0.3,0.3,0.34,0.36,0.31
"2018/01/08","橋頭","NOx",38,33,18,16,16,15,18,65,108,60,38,21,17,11,9.7,14,17,16,16,12,11,11,13,15
"2018/01/08","橋頭","O3",4.2,4.4,8.9,9.3,9.8,12,11,2.6,2.5,9.6,24,27,29,29,26,22,21,22,18,24,27,26,23,20
"2018/01/08","橋頭","PM10",56,58,54,44,43,44,41,45,70,74,54,40,28,22,19,30,23,10,12,13,12,12,14,14
"2018/01/08","橋頭","SO2",2.9,2.6,2,1.9,1.8,1.9,2,2.8,4.8,7.1,6.6,4.7,3.5,2.4,1.6,1.1,1.1,1.1,1,1.1,1,1.1,1.7,2.1
"2018/01/09","橋頭","CO",0.29,0.34,0.54,0.4,0.48,0.46,0.52,0.75,0.74,0.69,0.64,NA,0.64,0.68,NA,0.65,0.65,0.68,0.67,0.63,0.68,0.7,0.63,0.6
"2018/01/09","橋頭","NOx",14,10,13,13,12,11,13,24,28,28,29,NA,29,36,NA,35,42,37,32,30,32,35,26,20
"2018/01/09","橋頭","O3",22,22,12,16,17,20,15,6.4,4.9,6.6,7.8,NA,11,NA,5.2,6.5,4.3,5.9,5.9,5.2,2.8,2,5.5,8.3
"2018/01/09","橋頭","PM10",16,22,26,23,19,14,11,16,23,23,23,NA,NA,NA,42,41,42,42,43,44,46,50,50,49
"2018/01/09","橋頭","SO2",2,1.7,2.1,2,1.7,1.7,1.8,1.9,2.1,2,2,NA,2.2,2.3,NA,2,2.3,2,1.9,1.8,1.7,2.2,1.6,1.6
"2018/01/10","橋頭","CO",0.52,0.47,0.41,0.27,0.25,0.25,0.28,0.41,0.4,0.33,0.36,0.4,0.42,0.42,0.42,0.41,0.43,0.53,0.45,0.41,0.43,0.41,0.38,0.36
"2018/01/10","橋頭","NOx",18,15,14,11,10,11,14,22,26,30,31,28,23,23,23,20,22,28,28,25,27,29,24,23
"2018/01/10","橋頭","O3",13,16,21,27,28,24,21,17,17,16,17,22,29,32,37,44,43,34,30,29,23,20,23,19
"2018/01/10","橋頭","PM10",47,46,38,27,21,19,19,21,29,32,32,38,44,47,51,53,55,60,67,65,59,59,49,42
"2018/01/10","橋頭","SO2",1.5,1.4,1.5,1.4,1.4,1.3,1.2,1.5,2.1,2.7,3.4,3.1,2.5,2.8,2.8,2.5,2.6,3.2,3.9,3.1,3.3,3.1,3.7,3.4
"2018/01/11","橋頭","CO",0.36,0.31,0.3,0.22,0.24,0.24,0.31,0.39,0.38,0.37,0.37,0.38,0.39,0.36,0.39,0.41,0.43,0.53,0.45,0.42,0.4,0.35,0.34,0.33
"2018/01/11","橋頭","NOx",24,20,16,11,11,12,17,22,29,31,32,32,28,31,30,28,26,36,26,23,21,20,18,18
"2018/01/11","橋頭","O3",17,21,27,32,30,26,20,22,18,17,18,22,26,24,28,31,32,27,33,31,30,30,27,27
"2018/01/11","橋頭","PM10",43,41,33,29,27,27,32,35,37,42,44,47,52,54,54,57,56,59,81,93,81,66,57,52
