"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","¼é¦{","CO",0.93,0.85,0.84,0.82,0.83,0.83,0.81,0.85,0.8,0.67,0.61,0.57,0.66,0.84,1.07,0.94,0.68,0.59,0.61,0.65,0.59,0.55,0.58,0.51
"2018/01/01","¼é¦{","NOx",18,15,14,14,14,15,16,27,16,14,10,11,12,18,27,27,20,16,19,18,12,11,15,17
"2018/01/01","¼é¦{","O3",16,15,13,11,9.6,5.4,3.3,5.6,13,30,55,67,82,107,102,80,75,70,56,47,49,45,26,14
"2018/01/01","¼é¦{","PM10",178,164,162,143,133,120,125,133,131,117,114,108,113,124,158,169,159,137,134,136,135,117,112,107
"2018/01/01","¼é¦{","SO2",2,1.6,1.8,1.6,1.6,1.6,1.5,1.9,2.1,2.4,3.2,3.6,4.5,8,14,13,6.2,3.8,3.3,2.2,2.1,2.2,2,1.9
"2018/01/02","¼é¦{","CO",0.51,0.54,0.54,0.54,0.53,0.53,0.59,0.61,0.52,0.52,0.53,0.65,0.64,0.54,0.62,0.7,0.62,0.4,0.43,0.43,0.46,0.38,0.39,0.39
"2018/01/02","¼é¦{","NOx",17,16,18,14,15,13,16,17,12,12,14,NA,NA,15,16,21,19,15,17,17,16,11,9.8,8.7
"2018/01/02","¼é¦{","O3",11,9.5,6.1,6.7,4.8,8.6,4.2,7.2,19,40,60,79,76,84,88,85,68,60,51,41,34,31,29,24
"2018/01/02","¼é¦{","PM10",114,108,99,86,74,71,74,77,76,76,88,NA,129,117,115,116,107,97,87,100,98,85,67,62
"2018/01/02","¼é¦{","SO2",1.9,1.4,1.4,1.2,1.1,1.2,1.2,1.3,1.7,3.1,4.9,6.9,10,7.4,6.3,7.8,5.9,3.3,3.4,1.8,1.5,1.6,1.4,1.3
"2018/01/03","¼é¦{","CO",0.39,0.42,0.42,0.42,0.45,0.47,0.5,0.54,0.55,0.45,0.43,0.39,0.4,0.4,0.49,0.43,0.42,0.45,0.57,0.66,0.5,0.42,0.46,0.4
"2018/01/03","¼é¦{","NOx",7.4,8.9,7.2,7.9,6.8,10,17,14,19,12,11,9.5,9.4,11,20,16,15,18,20,21,19,15,16,15
"2018/01/03","¼é¦{","O3",22,20,22,19,21,10,3.8,6.4,12,27,45,63,71,80,90,88,78,71,61,46,42,44,34,37
"2018/01/03","¼é¦{","PM10",57,56,52,58,55,57,58,56,57,58,72,62,61,95,112,125,133,123,121,125,122,114,101,99
"2018/01/03","¼é¦{","SO2",1,1.5,1.6,1.6,1.6,1.5,1.6,1.6,2.1,2.4,3.3,4.1,3.9,4.7,6.9,5.7,4.5,4.5,4.6,4,4,3.5,2.7,2.6
"2018/01/04","¼é¦{","CO",0.37,0.36,0.34,0.36,0.37,0.38,0.38,0.44,0.54,0.41,0.3,0.3,0.32,0.39,0.4,0.44,0.48,0.52,0.51,0.56,0.52,0.45,0.39,0.35
"2018/01/04","¼é¦{","NOx",13,13,10,10,11,11,12,15,25,15,8.6,9.5,11,20,20,26,24,23,24,22,18,14,12,11
"2018/01/04","¼é¦{","O3",33,31,39,32,25,18,12,12,14,34,50,57,64,64,60,53,53,52,29,25,27,26,26,23
"2018/01/04","¼é¦{","PM10",102,103,97,98,98,96,83,77,79,84,82,75,70,87,102,128,140,158,151,151,140,134,109,83
"2018/01/04","¼é¦{","SO2",1.9,1.5,1.5,1.4,1.4,1.4,1.4,1.5,2.1,2.4,1.9,1.9,2.3,3.8,5,5,3.6,3.5,2.3,1.7,1.4,1.2,1.1,1.1
"2018/01/05","¼é¦{","CO",0.35,0.4,0.34,0.33,0.33,0.34,0.34,0.36,0.41,0.41,0.37,0.29,0.25,0.27,0.3,0.31,0.37,0.46,0.47,0.62,0.68,0.68,0.73,0.64
"2018/01/05","¼é¦{","NOx",10,10,9.8,9.2,9,8.9,9.8,12,16,17,18,14,11,11,13,16,20,26,28,37,41,42,42,38
"2018/01/05","¼é¦{","O3",21,18,19,18,18,14,11,8.1,7.3,8.5,9.7,17,23,27,31,31,25,13,7.3,2.2,1.4,1.3,1.3,1.2
"2018/01/05","¼é¦{","PM10",56,61,57,70,53,43,46,48,53,39,28,31,30,30,22,27,43,53,62,67,87,95,98,95
"2018/01/05","¼é¦{","SO2",1.2,1.5,1.4,1.4,1.4,1.4,1.5,1.6,1.9,2,1.8,1.9,1.7,1.8,1.8,2.1,2.5,2.2,2.2,2.5,2.6,2.7,2.7,2.4
"2018/01/06","¼é¦{","CO",0.59,0.59,0.52,0.46,0.45,0.44,0.47,0.54,0.48,0.46,0.64,0.7,0.63,0.57,0.5,0.41,0.45,0.54,0.67,0.71,0.66,0.6,0.52,0.46
"2018/01/06","¼é¦{","NOx",32,31,32,26,27,29,28,32,26,22,28,32,31,33,24,19,22,30,43,43,37,31,21,16
"2018/01/06","¼é¦{","O3",1.1,1.2,1,0.9,1,1.2,1.1,1.5,2.6,6.8,15,22,21,23,31,33,27,13,4.9,1.4,1.2,1.4,1.7,4.9
"2018/01/06","¼é¦{","PM10",85,81,67,56,41,51,60,64,53,51,68,88,97,96,88,77,66,60,71,82,97,97,86,75
"2018/01/06","¼é¦{","SO2",1.9,1.7,1.7,1.5,1.5,1.6,1.4,1.6,1.4,1.4,5.6,7.4,4.4,5.6,2.7,1.8,1.7,1.8,2.6,2.4,2.1,1.8,1.6,1.6
"2018/01/07","¼é¦{","CO",0.42,0.38,0.44,0.49,0.5,0.49,0.52,0.55,0.45,0.41,0.48,0.48,0.45,0.44,0.43,0.44,0.67,0.78,0.69,0.59,0.46,0.41,0.41,0.43
"2018/01/07","¼é¦{","NOx",13,14,17,20,21,19,19,22,16,11,13,15,12,11,9.6,9.8,19,23,25,22,16,12,13,12
