"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","美濃","CO",0.82,0.83,0.8,0.78,0.78,0.79,0.76,0.75,0.68,0.49,0.43,0.42,0.45,0.43,0.39,0.39,0.48,0.69,0.45,0.46,0.46,0.46,0.45,0.45
"2018/01/01","美濃","NOx",11,13,13,11,11,12,11,11,15,9.4,7,6.6,6.2,6.9,6.7,6.7,8.4,19,12,13,13,13,12,12
"2018/01/01","美濃","O3",17,11,9.6,8.7,7.7,5,4.8,6.1,13,28,43,50,55,66,69,70,68,60,52,44,36,31,27,21
"2018/01/01","美濃","PM10",131,140,137,117,109,109,111,110,102,95,84,69,63,66,58,49,56,101,124,118,126,115,104,99
"2018/01/01","美濃","SO2",0.9,1.1,0.9,0.9,0.8,0.9,0.9,1.1,1.2,1.3,1.7,1.4,1.3,1.5,1.4,1.4,1.6,4.3,2.4,2.2,1.7,1.5,1.5,1.4
"2018/01/02","美濃","CO",0.42,0.42,0.43,0.42,0.42,0.44,0.47,0.62,0.52,0.47,0.46,0.45,0.43,0.45,0.48,0.58,0.52,0.41,0.47,0.54,0.6,0.64,0.5,0.49
"2018/01/02","美濃","NOx",12,12,12,12,12,13,10,20,14,9.6,7.9,8.7,8.9,11,NA,15,16,17,20,22,20,19,12,11
"2018/01/02","美濃","O3",17,14,11,8,6.3,5.6,8.8,8.3,20,38,57,65,70,86,77,94,83,56,43,34,33,25,28,25
"2018/01/02","美濃","PM10",95,92,88,83,79,76,83,92,92,87,85,87,83,NA,97,100,98,100,109,117,NA,NA,88,79
"2018/01/02","美濃","SO2",1.5,1.4,1.3,1.2,1.2,1.3,1.3,1.6,1.8,2.3,3.1,3.1,2.6,2.7,2.3,3.5,3.3,2.8,2.6,2.6,2.5,2.2,2,1.9
"2018/01/03","美濃","CO",0.49,0.47,0.47,0.47,0.48,0.47,0.47,0.62,0.66,0.57,0.5,0.39,0.37,0.35,0.34,0.36,0.38,0.37,0.37,0.36,0.35,0.41,0.39,0.37
"2018/01/03","美濃","NOx",11,8.9,7.8,8.5,9.2,11,17,22,23,14,11,8.3,6.5,5.3,7.5,7.5,10,13,13,12,11,15,14,11
"2018/01/03","美濃","O3",18,17,15,12,8.8,3.4,2.4,3.7,8,29,47,58,65,67,71,74,71,59,51,46,46,30,25,22
