"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","获","CO",0.94,0.94,0.94,0.84,0.81,0.81,0.8,0.87,0.98,0.89,0.78,0.76,0.83,0.78,0.67,0.68,0.76,0.75,0.9,0.87,0.66,0.66,0.63,0.62
"2018/01/01","获","NOx",33,30,31,27,28,33,33,34,43,38,28,23,24,22,21,20,25,21,31,35,26,24,26,28
"2018/01/01","获","O3",5.2,4.5,3.4,4.8,3.3,2.1,1.9,4.4,7.5,20,37,53,67,72,72,68,56,47,36,28,26,22,16,11
"2018/01/01","获","PM10",113,109,106,105,99,96,98,103,111,112,118,112,108,122,126,132,118,115,125,129,145,142,142,122
"2018/01/01","获","SO2",6.9,4.1,4.3,4.7,4.3,5.8,5.1,5,6,6.2,5.5,4.4,3.6,3.4,3.2,3,4.2,3,4,3.5,2.8,2.5,3.9,5.2
"2018/01/02","获","CO",0.61,0.64,0.64,0.62,0.56,0.57,0.68,1.05,1.35,1.18,1.5,1.05,0.73,0.67,0.68,0.63,0.67,0.92,0.99,0.87,0.82,0.75,0.83,0.78
"2018/01/02","获","NOx",22,28,27,26,18,31,31,49,60,55,62,41,27,24,21,18,21,28,34,37,25,29,38,39
"2018/01/02","获","O3",12,7.3,6.6,5.3,14,6.9,6.8,5,10,24,36,50,51,54,54,54,46,39,32,29,35,26,8.6,5.7
"2018/01/02","获","PM10",110,110,114,116,108,107,104,97,100,118,144,146,127,NA,70,71,73,80,86,90,86,83,94,107
"2018/01/02","获","SO2",4.9,4.3,4.6,4.3,3.2,6.8,5.7,5.8,7.2,6.3,11,13,7.6,8.3,5.3,3.6,3,2.9,5.5,9,3.5,3.3,3.5,3.5
"2018/01/03","获","CO",0.76,0.74,0.77,0.66,0.62,0.62,0.75,1.33,1.25,0.71,0.48,0.48,0.53,0.55,0.56,0.57,0.64,0.86,0.91,0.58,0.53,0.56,0.55,0.45
"2018/01/03","获","NOx",42,39,38,30,28,36,35,45,45,42,27,24,25,23,23,20,22,28,29,20,20,25,27,28
"2018/01/03","获","O3",2.3,2.4,2.4,1.8,1.8,2,2.1,4.7,12,17,30,43,51,60,65,62,54,42,36,40,38,31,30,31
"2018/01/03","获","PM10",120,118,114,105,102,102,75,77,98,138,143,119,114,76,74,110,105,98,94,89,88,85,92,88
"2018/01/03","获","SO2",3.2,4.2,4.7,3.8,3.7,4.6,5.3,7.9,8.5,7.2,7.8,8.9,8,6.6,5,4.1,4.2,4.7,4.2,3.6,4,4.7,4.9,6.5
"2018/01/04","获","CO",0.46,0.4,0.33,0.34,0.41,0.43,0.51,0.67,0.68,0.58,0.45,0.39,0.65,0.65,0.51,0.57,0.56,0.67,0.91,0.67,0.5,0.44,0.41,0.4
"2018/01/04","获","NOx",25,16,9.8,10,12,16,19,23,34,40,24,17,36,32,23,34,31,34,43,36,25,20,17,18
"2018/01/04","获","O3",30,34,41,35,30,29,24,23,20,18,28,37,37,38,41,29,23,19,9.8,12,17,15,15,13
