"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",29.35,49.031,0.292,3.723,10.637,120.409653,23.925175
"南投",22.773,46.819,0.399,2.2,17.792,120.685306,23.913
"埔里",30.522,34.465,0.34,1.993,13.01,120.967903,23.968842
"竹山",29.294,47.42,0.306,2.267,12.693,120.677306,23.756389
"大里",26.992,47.149,0.466,2.583,20.056,120.677689,24.099611
"彰化",29.708,45.398,0.409,3.32,15.176,120.541519,24.066
"忠明",29.258,36.745,0.402,2.394,20.459,120.641092,24.151958
"沙鹿",33.053,39.191,0.325,2.586,15.035,120.568794,24.225628
"線西",33.899,42.048,0.317,3.168,12.745,120.469061,24.131672
"西屯",32.024,42.547,0.339,2.504,16.96,120.616917,24.162197
"豐原",31.942,35.613,0.354,2.292,12.231,120.741711,24.256586
"三重",NA,49.049,1.166,3.533,84.24,121.493806,25.072611
"土城",30.036,34.098,0.432,2.458,20.663,121.451861,24.982528
"士林",31.994,30.855,0.326,2.19,14.589,121.5145,25.105917
"大同",NA,47.745,1.11,3.086,61.44,121.513311,25.0632
"大園",33.72,41.31,0.291,3.488,17.153,121.201811,25.060344
"中山",23.943,34.768,0.562,2.548,30.461,121.526528,25.062361
"中壢",20.138,46.428,0.873,3.076,45.269,121.221667,24.953278
"古亭",29.814,31.88,0.416,2.135,21.855,121.529556,25.020608
"平鎮",31.292,42.103,0.389,2.928,19.142,121.204981,24.954208
"永和",28.089,29.442,0.627,2.323,28.101,121.516306,25.017
"汐止",29.773,29.083,0.382,2.842,21.74,121.6408,25.065669
"松山",27.648,32.727,0.409,2.809,23.972,121.578611,25.05
"板橋",27.696,37.783,0.492,2.986,23.908,121.458667,25.012972
"林口",35.044,38.108,0.29,2.697,16.127,121.365703,25.07857
"桃園",27.797,37.69,0.42,5.091,19.024,121.304417,24.995667
"基隆",32.663,26.118,0.298,2.345,12.776,121.760056,25.129167
"淡水",28.54,32.702,0.304,2.261,10.864,121.449239,25.1645
"富貴角",38.147,38.973,0.174,0.849,3.347,121.537975,25.297436
"菜寮",25.021,32.595,0.457,2.553,20.747,121.481028,25.06895
"陽明",41.344,14.936,0.173,1.734,2.795,121.529583,25.182722
"新店",31.695,28.828,0.36,1.978,15.395,121.537778,24.977222
"新莊",30.582,33.166,0.446,3.284,21.642,121.4325,25.037972
"萬里",39.341,42.851,0.217,2.871,6.552,121.689881,25.179667
"萬華",25.528,32.794,0.471,2.344,25.988,121.507972,25.046503
"龍潭",34.328,36.559,0.346,2.516,14.78,121.21635,24.863869
"觀音",33.593,48.12,0.259,3.935,11.538,121.082761,25.035503
"三義",35.297,31.675,0.248,2.327,9.063,120.758833,24.382942
"竹東",27.748,35.057,0.293,1.884,10.578,121.088903,24.740644
"苗栗",28.167,46.841,0.352,2.526,14.393,120.8202,24.565269
"湖口",35.581,40.331,0.28,2.745,12.824,121.038653,24.900142
"新竹",28.907,35.632,0.367,2.064,15.522,120.972075,24.805619
"頭份",31.23,39.155,0.303,2.408,14.107,120.898572,24.696969
"冬山",29.155,31.24,0.265,1.915,10.184,121.792928,24.632203
"宜蘭",32.675,30.771,0.276,1.984,6.435,121.746394,24.747917
"花蓮",27.871,27.512,0.251,1.651,7.195,121.599769,23.971306
"臺東",24.622,25.918,0.288,1.256,7.28,121.15045,22.755358
"關山",22.056,22.956,NA,1.865,4.866,121.161933,23.045083
"大寮",29.019,52.034,0.378,4.495,18.624,120.425311,22.564136
"小港",27.624,55.906,0.424,6.713,25.893,120.337736,22.565833
"仁武",31.829,57.122,0.382,3.615,18.527,120.332631,22.689056
"左營",32.017,59.072,0.396,3.038,17.117,120.292917,22.674861
"林園",35.39,54.939,0.328,3.991,13.681,120.41175,22.4795
"前金",32.519,56.39,0.412,3.165,16.995,120.288086,22.632567
"前鎮",27.617,57.561,0.499,4.456,24.144,120.307564,22.605386
"屏東",32.191,51.037,0.418,2.664,14.502,120.488033,22.673081
"恆春",37.538,22.594,0.137,1.703,2.516,120.788928,21.958069
"美濃",30.811,47.228,0.287,1.726,7.699,120.530542,22.883583
"復興",27.687,54.595,0.572,4.384,23.992,120.312017,22.608711
"楠梓",30.709,63.68,0.377,2.746,18.472,120.328289,22.733667
"鳳山",28.298,51.465,0.488,3.39,20.489,120.358083,22.627392
"潮州",32.593,56.425,0.295,2.338,10.512,120.561175,22.523108
"橋頭",27.901,52.694,0.364,2.888,16.023,120.305689,22.757506
"斗六",31.532,49.93,0.339,2.686,14.719,120.544994,23.711853
"安南",31.868,58.682,0.335,2.544,14.762,120.218333,23.048333
"朴子",33.29,65.779,0.296,2.747,10.576,120.24735,23.465308
"崙背",31.858,52.346,0.282,2.591,11.476,120.348742,23.757547
"麥寮",31.624,67.728,0.293,2.776,11.735,120.251825,23.753506
"善化",26.534,52.845,0.29,2.723,12.34,120.297142,23.115097
"新港",31.013,57.038,0.31,2.649,12.247,120.345531,23.554839
"新營",27.747,59.763,0.326,2.558,12.902,120.31725,23.305633
"嘉義",28.909,53.901,0.377,3.445,16.136,120.440833,23.462778
"臺西",37.74,48.034,0.241,3.051,9.696,120.202842,23.717533
"臺南",32.277,51.989,0.387,2.765,15.222,120.202617,22.984581
