"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",34.539,62.497,0.32,3.326,10.275,120.409653,23.925175
"南投",26.79,62.925,0.427,2.444,17.123,120.685306,23.913
"埔里",36.505,43.091,0.365,2.077,12.346,120.967903,23.968842
"竹山",36.333,58.744,0.312,2.656,12.444,120.677306,23.756389
"大里",33.712,65.903,0.487,3.09,19.37,120.677689,24.099611
"彰化",35.522,62.109,0.424,3.792,13.622,120.541519,24.066
"忠明",37.198,52.45,0.441,3.19,19.778,120.641092,24.151958
"沙鹿",40.778,59.734,0.397,3.48,17.11,120.568794,24.225628
"線西",41.069,58.569,0.355,3.188,13.098,120.469061,24.131672
"西屯",39.852,61.353,0.385,3.193,17.438,120.616917,24.162197
"豐原",39.386,48.622,0.377,2.591,12.883,120.741711,24.256586
"三重",NA,70.821,1.192,3.566,82.319,121.493806,25.072611
"土城",36.897,53.715,0.513,2.851,24.159,121.451861,24.982528
"士林",38.468,48.002,0.381,2.297,15.234,121.5145,25.105917
"大同",NA,67.915,1.145,3.004,63.672,121.513311,25.0632
"大園",33.679,63.056,0.379,3.577,21.267,121.201811,25.060344
"中山",32.738,55.036,0.588,2.455,29.955,121.526528,25.062361
"中壢",26.841,70.281,0.978,3.392,49.442,121.221667,24.953278
"古亭",39.411,49.097,0.453,2.255,21.39,121.529556,25.020608
"平鎮",41.276,65.534,0.46,3.322,20.816,121.204981,24.954208
"永和",36.42,46.357,0.65,2.468,28.947,121.516306,25.017
"汐止",34.498,44.849,0.439,3.003,24.96,121.6408,25.065669
"松山",35.506,49.468,0.447,2.713,23.766,121.578611,25.05
"板橋",34.849,58.428,0.584,3.382,26.478,121.458667,25.012972
"林口",43.509,62.057,0.366,3.359,19.817,121.365703,25.07857
"桃園",31.856,60.246,0.513,6.523,23.159,121.304417,24.995667
"基隆",37.755,39.1,0.356,2.131,14.389,121.760056,25.129167
"淡水",30.096,51.468,0.381,2.323,13.423,121.449239,25.1645
"富貴角",49.951,51.48,0.212,1.337,4.162,121.537975,25.297436
"菜寮",28.806,49.306,0.515,2.504,21.999,121.481028,25.06895
"陽明",51.513,27.693,0.224,2.111,3.69,121.529583,25.182722
"新店",41.528,44.165,0.388,2.073,15.125,121.537778,24.977222
"新莊",37.404,53.502,0.556,3.371,26.283,121.4325,25.037972
"萬里",44.749,54.968,0.263,3.064,7.537,121.689881,25.179667
"萬華",35.635,49.242,0.506,2.447,25.55,121.507972,25.046503
"龍潭",43.372,54.559,0.414,2.615,16.718,121.21635,24.863869
"觀音",38.775,74.672,0.337,4.277,15.798,121.082761,25.035503
"三義",42.728,45.009,0.292,2.339,9.808,120.758833,24.382942
"竹東",32.98,53.837,0.356,2.182,11.449,121.088903,24.740644
"苗栗",35.565,60.264,0.386,2.687,14.204,120.8202,24.565269
"湖口",43.476,58.877,0.344,3.305,15.096,121.038653,24.900142
"新竹",35.867,50.384,0.432,1.842,18.045,120.972075,24.805619
"頭份",35.01,55.637,0.326,2.162,14.825,120.898572,24.696969
"冬山",33.885,51.118,0.312,1.887,10.59,121.792928,24.632203
"宜蘭",39.097,48.551,0.308,1.629,6.737,121.746394,24.747917
"花蓮",35.24,38.49,0.266,1.705,6.498,121.599769,23.971306
"臺東",29.806,32.574,0.308,1.225,7.458,121.15045,22.755358
"關山",26.399,29.617,NA,2.227,4.714,121.161933,23.045083
"大寮",34.819,57.666,0.347,3.976,16.272,120.425311,22.564136
"小港",35.538,57.303,0.343,7.079,20.285,120.337736,22.565833
"仁武",40.119,60.867,0.35,3.845,15.29,120.332631,22.689056
"左營",42.304,66.255,0.335,3.48,12.972,120.292917,22.674861
"林園",43.066,50.605,0.286,3.959,10.214,120.41175,22.4795
"前金",43.008,58.667,0.348,3.227,13.016,120.288086,22.632567
"前鎮",33.554,58.229,0.377,4.636,17.884,120.307564,22.605386
"屏東",39.132,61.35,0.388,3.095,13.713,120.488033,22.673081
"恆春",43.389,34.09,0.153,1.615,2.275,120.788928,21.958069
"美濃",37.722,56.477,0.297,2.107,7.775,120.530542,22.883583
"復興",36.982,57.957,0.45,4.54,19.226,120.312017,22.608711
"楠梓",39.769,75.19,0.36,3.11,15.88,120.328289,22.733667
"鳳山",35.209,51.284,0.462,4.03,17.129,120.358083,22.627392
"潮州",37.528,63.524,0.285,2.631,10.187,120.561175,22.523108
"橋頭",33.43,55.366,0.346,3.189,13.736,120.305689,22.757506
"斗六",39.633,63.829,0.349,2.903,13.599,120.544994,23.711853
"安南",38.476,72.716,0.326,2.606,12.619,120.218333,23.048333
"朴子",43.188,81.431,0.328,3.156,10.8,120.24735,23.465308
"崙背",40.44,68.447,0.311,3.028,11.055,120.348742,23.757547
"麥寮",38.425,83.449,0.314,3.047,11.281,120.251825,23.753506
"善化",31.076,63.119,0.31,3.038,11.516,120.297142,23.115097
"新港",38.248,72.705,0.333,2.985,12.007,120.345531,23.554839
"新營",34.278,71.041,0.336,2.723,12.435,120.31725,23.305633
"嘉義",37.177,63.734,0.386,3.299,14.042,120.440833,23.462778
"臺西",46.136,80.474,0.27,3.389,11.213,120.202842,23.717533
"臺南",43.295,56.277,0.368,2.89,12.917,120.202617,22.984581
