"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",25.78,23.94,0.179,3.528,5.986,120.409653,23.925175
"南投",21.327,26.289,0.284,1.958,9.983,120.685306,23.913
"埔里",27.217,22.283,0.241,1.862,9.255,120.967903,23.968842
"竹山",24.721,27.879,0.203,2.088,6.801,120.677306,23.756389
"大里",25.742,30.94,0.356,2.424,13.085,120.677689,24.099611
"彰化",28.569,30.494,0.286,3.208,8.97,120.541519,24.066
"忠明",26.59,20.283,0.319,2.018,15.113,120.641092,24.151958
"沙鹿",27.598,24.531,0.266,2.205,12.171,120.568794,24.225628
"線西",29.535,18.242,0.216,2.23,7.974,120.469061,24.131672
"西屯",26.248,26.611,0.265,2.171,13.735,120.616917,24.162197
"豐原",29.141,25.542,0.37,2.576,9.977,120.741711,24.256586
"三重",NA,41.214,1.126,3.788,79.22,121.493806,25.072611
"土城",25.602,27.801,0.375,2.719,19.826,121.451861,24.982528
"士林",26.405,25.878,0.304,2.402,14.764,121.5145,25.105917
"大同",NA,42.918,1.274,3.171,57.673,121.513311,25.0632
"大園",27.981,32.855,0.276,3.251,15.695,121.201811,25.060344
"中山",18.551,26.957,0.555,2.825,28.07,121.526528,25.062361
"中壢",15.628,38.554,0.953,2.838,45.464,121.221667,24.953278
"古亭",24.15,25.916,0.388,2.255,20.71,121.529556,25.020608
"平鎮",26.527,34.481,0.329,2.992,16.442,121.204981,24.954208
"永和",21.918,24.246,0.658,2.54,27.526,121.516306,25.017
"汐止",25.212,21.32,0.338,2.511,18.77,121.6408,25.065669
"松山",22.433,25.92,0.381,3.087,21.608,121.578611,25.05
"板橋",24.306,36.47,0.439,3.836,21.504,121.458667,25.012972
"林口",28.609,30.284,0.271,3.405,17.216,121.365703,25.07857
"桃園",25.636,32.215,0.363,5.429,17.93,121.304417,24.995667
"基隆",24.091,18.772,0.253,2.556,12.92,121.760056,25.129167
"淡水",22.725,28.115,0.287,2.68,11.406,121.449239,25.1645
"富貴角",30.633,19.476,0.146,1.135,3.906,121.537975,25.297436
"菜寮",23.073,21.95,0.413,2.968,18.886,121.481028,25.06895
"陽明",32.338,13.759,0.136,1.85,3.213,121.529583,25.182722
"新店",26.535,25.046,0.306,2.086,13.041,121.537778,24.977222
"新莊",26.313,25.611,0.402,4.929,20.183,121.4325,25.037972
"萬里",28.462,26.791,0.182,3.111,6.639,121.689881,25.179667
"萬華",21.535,28.104,0.451,2.452,22.902,121.507972,25.046503
"龍潭",29.551,29.162,0.302,2.78,13.278,121.21635,24.863869
"觀音",27.444,36.683,0.232,3.357,10.823,121.082761,25.035503
"三義",30.714,23.847,0.198,2.463,6.868,120.758833,24.382942
"竹東",21.93,28.232,0.244,1.779,8.305,121.088903,24.740644
"苗栗",24.64,47.527,0.289,2.169,10.938,120.8202,24.565269
"湖口",28.28,30.942,0.23,2.9,14.978,121.038653,24.900142
"新竹",22.648,22.195,0.335,2.253,13.251,120.972075,24.805619
"頭份",27.354,27.942,0.25,2.716,11.755,120.898572,24.696969
"冬山",23.249,29.086,0.249,2.29,10.126,121.792928,24.632203
"宜蘭",28.056,26.687,0.239,3.116,6.54,121.746394,24.747917
"花蓮",24.229,25.555,0.186,1.641,5.212,121.599769,23.971306
"臺東",18.719,23.65,0.278,1.278,7.576,121.15045,22.755358
"關山",16.085,21.746,NA,1.545,4.059,121.161933,23.045083
"大寮",22.901,23.04,0.254,3.902,11.318,120.425311,22.564136
"小港",19.632,28.613,0.373,7.644,22.087,120.337736,22.565833
"仁武",25.399,26.732,0.287,3.003,12.859,120.332631,22.689056
"左營",21.391,29.642,0.349,2.89,15.978,120.292917,22.674861
"林園",28.873,30.778,0.175,2.228,5.352,120.41175,22.4795
"前金",22.637,26.301,0.356,3.301,16.672,120.288086,22.632567
"前鎮",18.553,27.564,0.495,3.926,23.667,120.307564,22.605386
"屏東",23.963,20.126,0.335,1.656,10.42,120.488033,22.673081
"恆春",29.833,14.496,0.101,1.708,2.322,120.788928,21.958069
"美濃",23.435,19.455,0.17,1.266,3.67,120.530542,22.883583
"復興",20.37,22.276,0.449,3.925,18.914,120.312017,22.608711
"楠梓",21.323,31.574,0.292,2.606,17.352,120.328289,22.733667
"鳳山",22.683,18.619,0.397,2.571,14.517,120.358083,22.627392
"潮州",25.273,27.876,0.167,1.84,5.632,120.561175,22.523108
"橋頭",21.782,21.169,0.261,2.364,12.113,120.305689,22.757506
"斗六",28.153,24.66,0.252,2.408,8.874,120.544994,23.711853
"安南",23.826,28.438,0.281,2.406,13.05,120.218333,23.048333
"朴子",26.309,41.898,0.228,2.314,9.166,120.24735,23.465308
"崙背",27.394,22.431,0.172,1.649,6.743,120.348742,23.757547
"麥寮",26.116,45.053,0.239,2.161,9.372,120.251825,23.753506
"善化",23.034,25.249,0.18,2.095,7.438,120.297142,23.115097
"新港",25.778,27.123,0.214,2.03,8.636,120.345531,23.554839
"新營",24.414,27.031,0.228,2.047,6.274,120.31725,23.305633
"嘉義",26.241,26.458,0.216,3.098,8.779,120.440833,23.462778
"臺西",28.98,18.123,0.165,2.45,7.137,120.202842,23.717533
"臺南",23.942,25.43,0.284,2.144,10.997,120.202617,22.984581
