"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",33.302,53.764,0.297,4.017,10.775,120.409653,23.925175
"南投",25.751,47.853,0.43,2.192,18.452,120.685306,23.913
"埔里",33.04,35.168,0.34,2.037,13.33,120.967903,23.968842
"竹山",33.065,49.598,0.314,2.328,12.924,120.677306,23.756389
"大里",29.448,47.361,0.489,2.592,20.497,120.677689,24.099611
"彰化",35.985,45.678,0.47,2.984,17.643,120.541519,24.066
"忠明",32.49,36.351,0.389,2.332,19.855,120.641092,24.151958
"沙鹿",36.796,38.818,0.317,2.563,14.842,120.568794,24.225628
"線西",38.175,42.657,0.322,3.578,12.827,120.469061,24.131672
"西屯",35.012,40.988,0.326,2.353,15.43,120.616917,24.162197
"豐原",33.951,36.506,0.32,2.012,12.011,120.741711,24.256586
"三重",NA,44.234,1.14,3.279,80.973,121.493806,25.072611
"土城",33.196,30.974,0.383,2.087,17.297,121.451861,24.982528
"士林",35.939,28.749,0.286,1.929,12.75,121.5145,25.105917
"大同",NA,42.813,1.076,2.811,61.017,121.513311,25.0632
"大園",38.369,38.447,0.268,3.248,16.092,121.201811,25.060344
"中山",26.112,30.19,0.506,2.244,27.687,121.526528,25.062361
"中壢",22.108,40.232,0.863,2.992,42.666,121.221667,24.953278
"古亭",31.883,27.69,0.375,1.881,19.718,121.529556,25.020608
"平鎮",36.062,39.034,0.367,2.967,17.789,121.204981,24.954208
"永和",30.989,24.701,0.574,2.03,23.675,121.516306,25.017
"汐止",32.316,25.945,0.34,2.481,19.085,121.6408,25.065669
"松山",29.645,29.533,0.365,2.446,21.883,121.578611,25.05
"板橋",29.513,32.907,0.446,2.565,21.54,121.458667,25.012972
"林口",38.464,35.63,0.266,2.347,14.238,121.365703,25.07857
"桃園",30.945,33.929,0.415,4.529,16.75,121.304417,24.995667
"基隆",36.109,24.541,0.258,2.029,10.37,121.760056,25.129167
"淡水",33.883,30.146,0.281,2.061,8.946,121.449239,25.1645
"富貴角",45.926,46.429,0.149,0.673,2.682,121.537975,25.297436
"菜寮",27.903,32.497,0.425,2.307,18.672,121.481028,25.06895
"陽明",43.928,13.121,0.158,1.598,2.259,121.529583,25.182722
"新店",32.1,28.418,0.327,1.725,13.608,121.537778,24.977222
"新莊",33.638,29.435,0.399,2.865,18.719,121.4325,25.037972
"萬里",44.167,47.043,0.196,2.899,5.776,121.689881,25.179667
"萬華",27.624,30.066,0.424,2.071,24.729,121.507972,25.046503
"龍潭",38.368,33.303,0.325,2.618,13.848,121.21635,24.863869
"觀音",39.623,44.394,0.245,4.208,10.364,121.082761,25.035503
"三義",37.897,32.258,0.242,2.542,8.775,120.758833,24.382942
"竹東",30.357,30.855,0.273,1.799,9.898,121.088903,24.740644
"苗栗",30.424,50.799,0.348,2.538,14.138,120.8202,24.565269
"湖口",40.452,38.259,0.266,2.512,11.136,121.038653,24.900142
"新竹",33.601,35.244,0.339,2.192,13.567,120.972075,24.805619
"頭份",35.49,36.428,0.294,2.422,13.656,120.898572,24.696969
"冬山",30.814,26.28,0.232,1.756,9.417,121.792928,24.632203
"宜蘭",32.946,27.634,0.249,1.727,5.588,121.746394,24.747917
"花蓮",27.487,26.203,0.243,1.552,7.395,121.599769,23.971306
"臺東",24.917,28.489,0.265,1.215,6.32,121.15045,22.755358
"關山",22.118,24.057,NA,1.792,4.729,121.161933,23.045083
"大寮",35.137,57.44,0.407,4.76,18.383,120.425311,22.564136
"小港",33.668,62.639,0.444,6.729,25.686,120.337736,22.565833
"仁武",37.49,63.48,0.409,4.106,19.533,120.332631,22.689056
"左營",38.591,66.376,0.414,3.471,16.948,120.292917,22.674861
"林園",43.185,62.167,0.337,4.152,12.695,120.41175,22.4795
"前金",39.154,63.858,0.434,3.377,16.357,120.288086,22.632567
"前鎮",34.259,65.868,0.555,4.813,25.97,120.307564,22.605386
"屏東",37.976,54.438,0.436,2.827,13.538,120.488033,22.673081
"恆春",39.116,17.556,0.132,1.926,2.902,120.788928,21.958069
"美濃",35.52,51.667,0.303,1.753,7.528,120.530542,22.883583
"復興",33.979,61.057,0.623,4.616,23.977,120.312017,22.608711
"楠梓",36.198,69.209,0.398,2.843,17.95,120.328289,22.733667
"鳳山",36.181,57.291,0.505,3.202,20.415,120.358083,22.627392
"潮州",38.077,57.486,0.308,2.415,9.563,120.561175,22.523108
"橋頭",34.568,64.02,0.387,2.994,16.033,120.305689,22.757506
"斗六",34.927,53.527,0.357,3.016,15.374,120.544994,23.711853
"安南",38.88,66.404,0.346,2.798,14.7,120.218333,23.048333
"朴子",36.879,71.026,0.302,2.827,10.376,120.24735,23.465308
"崙背",33.376,55.153,0.283,2.717,11.726,120.348742,23.757547
"麥寮",34.689,77.93,0.303,2.922,13.339,120.251825,23.753506
"善化",31.729,59.523,0.301,2.922,12.812,120.297142,23.115097
"新港",35.229,59.829,0.316,2.84,12.291,120.345531,23.554839
"新營",31.933,63.506,0.34,2.794,13.304,120.31725,23.305633
"嘉義",32.42,59.87,0.411,4.051,18.248,120.440833,23.462778
"臺西",42.548,47.04,0.237,3.323,9.878,120.202842,23.717533
"臺南",37.788,61.125,0.412,3.132,15.7,120.202617,22.984581
