"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",30.495,60.703,0.419,3.991,13.369,120.409653,23.925175
"南投",19.298,59.435,0.457,2.405,25.423,120.685306,23.913
"埔里",24.245,31.835,0.45,1.97,14.531,120.967903,23.968842
"竹山",24.349,59.033,0.434,1.893,17.493,120.677306,23.756389
"大里",22.181,56.018,0.615,2.322,27.652,120.677689,24.099611
"彰化",26.17,57.166,0.527,2.534,20.449,120.541519,24.066
"忠明",25.256,46.294,0.552,2.131,28.994,120.641092,24.151958
"沙鹿",32.85,54.739,0.404,1.935,17.331,120.568794,24.225628
"線西",34.029,61.26,0.439,3.352,16.644,120.469061,24.131672
"西屯",32.864,52.847,0.457,2.267,21.734,120.616917,24.162197
"豐原",29.33,35.671,0.401,1.814,13.194,120.741711,24.256586
"三重",NA,62.228,1.387,3.034,107.768,121.493806,25.072611
"土城",27.186,46.009,0.613,2.387,28.252,121.451861,24.982528
"士林",32.536,41.462,0.444,1.926,19.378,121.5145,25.105917
"大同",NA,61.487,1.158,2.886,74.697,121.513311,25.0632
"大園",39.103,57.627,0.359,5.002,18.787,121.201811,25.060344
"中山",22.566,44.886,0.724,2.352,41.612,121.526528,25.062361
"中壢",21.146,62.304,0.796,2.941,47.812,121.221667,24.953278
"古亭",27.557,40.752,0.576,1.949,30.775,121.529556,25.020608
"平鎮",28.342,58.887,0.506,2.424,26.337,121.204981,24.954208
"永和",26.184,42.615,0.788,2.259,39.756,121.516306,25.017
"汐止",28.039,41.903,0.53,2.476,28.829,121.6408,25.065669
"松山",24.935,43.367,0.562,2.133,33.273,121.578611,25.05
"板橋",26.593,48.87,0.665,2.627,31.636,121.458667,25.012972
"林口",37.344,47.029,0.354,2.3,16.729,121.365703,25.07857
"桃園",28.466,47.137,0.504,3.59,22.516,121.304417,24.995667
"基隆",33.861,36.187,0.442,2.745,18.054,121.760056,25.129167
"淡水",29.779,44.736,0.37,2.061,12.093,121.449239,25.1645
"富貴角",21.488,60.356,0.284,0.548,3.503,121.537975,25.297436
"菜寮",25.194,45.907,0.625,2.354,29.648,121.481028,25.06895
"陽明",45.681,15.623,0.228,1.7,1.758,121.529583,25.182722
"新店",31.052,35.009,0.524,2.007,23.77,121.537778,24.977222
"新莊",29.028,45.854,0.571,2.49,26.267,121.4325,25.037972
"萬里",43.654,55.281,0.29,2.398,6.788,121.689881,25.179667
"萬華",21.988,41.953,0.66,2.391,37.662,121.507972,25.046503
"龍潭",33.466,46.585,0.449,2.315,18.177,121.21635,24.863869
"觀音",36.562,67.972,0.328,4.082,12.857,121.082761,25.035503
"三義",34.245,35.261,0.333,1.456,10.679,120.758833,24.382942
"竹東",28.951,46.479,0.398,1.945,13.835,121.088903,24.740644
"苗栗",27.066,60.182,0.452,2.406,18.903,120.8202,24.565269
"湖口",38.507,58.667,0.374,2.626,12.952,121.038653,24.900142
"新竹",29.885,52.151,0.46,1.927,18.742,120.972075,24.805619
"頭份",32.317,54.807,0.401,2.115,16.81,120.898572,24.696969
"冬山",34.474,35.603,0.326,1.63,10.1,121.792928,24.632203
"宜蘭",35.963,35.548,0.366,1.308,8.226,121.746394,24.747917
"花蓮",31.842,29.767,0.353,1.482,9.592,121.599769,23.971306
"臺東",30.751,25.85,0.369,1.204,9.712,121.15045,22.755358
"關山",28.979,23.91,NA,1.71,5.773,121.161933,23.045083
"大寮",25.719,68.665,0.501,4.048,24.027,120.425311,22.564136
"小港",24.805,72.323,0.589,4.338,32.371,120.337736,22.565833
"仁武",28.06,76.216,0.514,2.862,24.209,120.332631,22.689056
"左營",29.278,80.811,0.534,2.885,22.105,120.292917,22.674861
"林園",29.007,73.035,0.537,5.271,24.164,120.41175,22.4795
"前金",28.517,75.644,0.564,2.413,22.911,120.288086,22.632567
"前鎮",24.178,79.709,0.665,3.077,28.746,120.307564,22.605386
"屏東",27.862,66.774,0.519,2.336,18.307,120.488033,22.673081
"恆春",45.515,28.348,0.201,1.393,2.454,120.788928,21.958069
"美濃",27.204,61.947,0.405,1.599,10.356,120.530542,22.883583
"復興",23.128,79.192,0.771,3.444,32.541,120.312017,22.608711
"楠梓",28.708,81.835,0.485,2.223,21.198,120.328289,22.733667
"鳳山",21.412,81.487,0.613,3.803,27.127,120.358083,22.627392
"潮州",27.838,73.835,0.428,2.004,14.69,120.561175,22.523108
"橋頭",24.722,71.158,0.498,2.534,20.873,120.305689,22.757506
"斗六",27.378,63.563,0.452,2.415,20.074,120.544994,23.711853
"安南",29.478,76.853,0.44,2.384,17.698,120.218333,23.048333
"朴子",35.649,82.765,0.384,2.721,12.224,120.24735,23.465308
"崙背",34.636,67.964,0.414,2.872,14.189,120.348742,23.757547
"麥寮",33.991,74.724,0.373,2.919,12.557,120.251825,23.753506
"善化",25.37,68.987,0.416,2.563,16.887,120.297142,23.115097
"新港",32.139,77.955,0.433,2.491,14.756,120.345531,23.554839
"新營",26.724,83.141,0.449,2.24,18.601,120.31725,23.305633
"嘉義",24.722,71.696,0.53,2.986,22.365,120.440833,23.462778
"臺西",42.703,60.131,0.337,3.035,10.85,120.202842,23.717533
"臺南",30.203,68.19,0.536,2.423,20.209,120.202617,22.984581
