"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",26.951,41.001,0.377,4.2,13.591,120.409653,23.925175
"南投",15.948,55.019,0.532,2.257,26.908,120.685306,23.913
"埔里",21.943,35.087,0.453,2.196,17.962,120.967903,23.968842
"竹山",21.184,55.987,0.423,1.928,18.989,120.677306,23.756389
"大里",18.105,46.663,0.577,2.234,29.469,120.677689,24.099611
"彰化",22.353,43.815,0.471,2.535,20.179,120.541519,24.066
"忠明",22.14,36.101,0.486,2.155,27.509,120.641092,24.151958
"沙鹿",28.917,39.195,0.369,2.007,17.207,120.568794,24.225628
"線西",29.31,45.015,0.391,3.312,17.025,120.469061,24.131672
"西屯",28.625,43.283,0.403,2.2,21.462,120.616917,24.162197
"豐原",24.706,34.716,0.381,2.15,15.368,120.741711,24.256586
"三重",NA,41.689,1.237,3.7,95.39,121.493806,25.072611
"土城",29.026,27.466,0.458,2.231,20.528,121.451861,24.982528
"士林",33.483,22.729,0.337,1.87,14.168,121.5145,25.105917
"大同",NA,42.849,1,3.233,66.999,121.513311,25.0632
"大園",33.15,35.706,0.318,3.348,19.636,121.201811,25.060344
"中山",22.536,29.191,0.603,2.462,34.675,121.526528,25.062361
"中壢",19.814,39.704,0.788,2.707,45.697,121.221667,24.953278
"古亭",27.683,24,0.446,1.957,24.184,121.529556,25.020608
"平鎮",27.709,34.785,0.463,2.435,22.716,121.204981,24.954208
"永和",28.134,24.346,0.601,2.111,28.166,121.516306,25.017
"汐止",29.223,25.231,0.412,2.343,23.257,121.6408,25.065669
"松山",25.167,26.107,0.443,2.349,26.867,121.578611,25.05
"板橋",26.898,27.721,0.5,2.426,24.392,121.458667,25.012972
"林口",34.085,32.371,0.317,2.229,17.306,121.365703,25.07857
"桃園",27.15,29.735,0.425,5.132,20.323,121.304417,24.995667
"基隆",33.533,21.64,0.328,1.898,12.812,121.760056,25.129167
"淡水",27.031,24.564,0.334,1.825,11.203,121.449239,25.1645
"富貴角",43.6,42.713,0.192,0.577,2.922,121.537975,25.297436
"菜寮",25.628,27.443,0.475,2.519,23.535,121.481028,25.06895
"陽明",41.74,9.093,0.195,1.413,2.119,121.529583,25.182722
"新店",31.324,21.674,0.402,1.811,17.58,121.537778,24.977222
"新莊",28.837,26.232,0.47,2.275,23.94,121.4325,25.037972
"萬里",41.506,40.912,0.239,2.212,5.954,121.689881,25.179667
"萬華",21.081,25.347,0.485,2.413,29.072,121.507972,25.046503
"龍潭",31.282,29.901,0.385,2.239,16.763,121.21635,24.863869
"觀音",30.841,43.673,0.292,4.017,13.634,121.082761,25.035503
"三義",30.578,30.41,0.296,1.668,11.103,120.758833,24.382942
"竹東",27.994,26.243,0.339,1.84,12.777,121.088903,24.740644
"苗栗",23.888,40.876,0.426,2.549,19.453,120.8202,24.565269
"湖口",34.709,35.576,0.329,2.624,13.277,121.038653,24.900142
"新竹",27.878,32.38,0.411,2.051,17.484,120.972075,24.805619
"頭份",29.308,36.37,0.368,2.353,17.764,120.898572,24.696969
"冬山",30.549,27.102,0.299,1.496,12.079,121.792928,24.632203
"宜蘭",33.839,30.437,0.329,1.35,8.372,121.746394,24.747917
"花蓮",27.929,24.245,0.33,1.68,10.396,121.599769,23.971306
"臺東",28.454,21.744,0.328,1.257,7.607,121.15045,22.755358
"關山",25.693,20.789,NA,2.508,6.13,121.161933,23.045083
"大寮",23.811,68.322,0.538,4.011,29.774,120.425311,22.564136
"小港",21.537,78.51,0.624,5.96,40.234,120.337736,22.565833
"仁武",24.808,79.034,0.524,3.253,28.756,120.332631,22.689056
"左營",26.198,80.216,0.535,2.949,25.196,120.292917,22.674861
"林園",29.294,78.194,0.51,5.259,26.866,120.41175,22.4795
"前金",26.763,75.411,0.56,2.633,24.389,120.288086,22.632567
"前鎮",23.163,79.863,0.658,3.971,31.458,120.307564,22.605386
"屏東",26.625,68.585,0.55,2.804,21.495,120.488033,22.673081
"恆春",43.386,24.476,0.18,1.643,2.642,120.788928,21.958069
"美濃",25.842,61.76,0.406,1.657,12.09,120.530542,22.883583
"復興",20.599,79.256,0.811,4.09,36.224,120.312017,22.608711
"楠梓",25.126,85.694,0.502,2.634,25.012,120.328289,22.733667
"鳳山",18.654,82.295,0.648,4.159,33.045,120.358083,22.627392
"潮州",30.561,82.669,0.452,2.783,16.799,120.561175,22.523108
"橋頭",22.479,70.766,0.506,2.975,23.978,120.305689,22.757506
"斗六",22.767,52.707,0.418,2.393,21.254,120.544994,23.711853
"安南",26.539,66.381,0.415,2.371,19.038,120.218333,23.048333
"朴子",31.359,65.697,0.344,2.639,11.975,120.24735,23.465308
"崙背",29.112,53.111,0.362,3.084,14.954,120.348742,23.757547
"麥寮",30.957,57.996,0.324,2.499,11.84,120.251825,23.753506
"善化",21.694,54.19,0.396,2.817,18.304,120.297142,23.115097
"新港",27.197,62.304,0.39,2.441,15.225,120.345531,23.554839
"新營",22.388,74.293,0.41,2.514,19.59,120.31725,23.305633
"嘉義",20.428,64.878,0.518,3.494,24.157,120.440833,23.462778
"臺西",37.09,43.152,0.287,2.507,9.957,120.202842,23.717533
"臺南",26.14,62.886,0.499,2.42,20.834,120.202617,22.984581
