"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",22.663,36.064,0.162,3.261,6.717,120.409653,23.925175
"南投",21.073,27.819,0.269,2.096,10.668,120.685306,23.913
"埔里",27.293,26.922,0.222,1.896,9.207,120.967903,23.968842
"竹山",24.646,33.496,0.186,2.319,7.284,120.677306,23.756389
"大里",24.945,40.297,0.321,2.782,13.208,120.677689,24.099611
"彰化",24.214,36.927,0.245,4.157,7.671,120.541519,24.066
"忠明",25.285,28.206,0.289,2.391,14.143,120.641092,24.151958
"沙鹿",25.877,28.544,0.228,2.981,11.539,120.568794,24.225628
"線西",27.062,28.252,0.191,2.713,8.368,120.469061,24.131672
"西屯",25.053,32.66,0.249,2.871,14.544,120.616917,24.162197
"豐原",28.551,32.068,0.342,2.567,8.894,120.741711,24.256586
"三重",NA,39.539,0.964,3.344,70.933,121.493806,25.072611
"土城",19.795,24.449,0.287,2.313,15.327,121.451861,24.982528
"士林",18.718,24.077,0.216,2.205,11.583,121.5145,25.105917
"大同",NA,41.288,1.096,3.059,51.721,121.513311,25.0632
"大園",22.503,31.938,0.195,3.171,11.534,121.201811,25.060344
"中山",13.621,26.066,0.456,2.633,24.55,121.526528,25.062361
"中壢",12.371,37.358,0.803,2.978,40.177,121.221667,24.953278
"古亭",19.137,22.451,0.278,2.171,16.372,121.529556,25.020608
"平鎮",21.394,28.285,0.238,2.937,13.302,121.204981,24.954208
"永和",17.114,21.723,0.465,2.143,22.318,121.516306,25.017
"汐止",20.441,21.291,0.261,2.82,15.838,121.6408,25.065669
"松山",17.908,25.317,0.299,2.727,18.789,121.578611,25.05
"板橋",18.123,32.1,0.338,3.054,17.753,121.458667,25.012972
"林口",21.08,26.671,0.185,2.644,12.241,121.365703,25.07857
"桃園",19.271,30.377,0.267,5.283,14.107,121.304417,24.995667
"基隆",19.885,19.338,0.197,2.331,10.626,121.760056,25.129167
"淡水",17.177,26.01,0.181,2.264,8.315,121.449239,25.1645
"富貴角",23.591,19.535,0.096,1.059,3.465,121.537975,25.297436
"菜寮",16.591,21.081,0.316,2.525,14.424,121.481028,25.06895
"陽明",23.983,12.332,0.1,1.838,2.833,121.529583,25.182722
"新店",21.021,20.561,0.233,1.848,9.732,121.537778,24.977222
"新莊",19.709,22.117,0.294,3.626,15.036,121.4325,25.037972
"萬里",23.934,28.794,0.141,3.216,6.346,121.689881,25.179667
"萬華",15.539,26.113,0.347,2.129,18.905,121.507972,25.046503
"龍潭",23.565,31.096,0.232,2.409,10.474,121.21635,24.863869
"觀音",21.217,37.888,0.158,3.319,7.967,121.082761,25.035503
"三義",29.462,27.683,0.182,2.756,6.799,120.758833,24.382942
"竹東",20.594,34.654,0.197,1.856,8.822,121.088903,24.740644
"苗栗",23.574,36.559,0.248,2.397,9.71,120.8202,24.565269
"湖口",24.947,30.901,0.161,3.19,10.515,121.038653,24.900142
"新竹",19.817,23.812,0.26,2.414,11.096,120.972075,24.805619
"頭份",24.077,32.252,0.21,2.891,11.001,120.898572,24.696969
"冬山",18.329,28.448,0.222,2.572,10.926,121.792928,24.632203
"宜蘭",21.531,25.625,0.197,3.167,5.645,121.746394,24.747917
"花蓮",17.405,25.758,0.162,1.953,5.475,121.599769,23.971306
"臺東",14.623,24.803,0.231,1.308,7.256,121.15045,22.755358
"關山",12.925,21.566,NA,1.841,4.668,121.161933,23.045083
"大寮",19.825,31.195,0.256,5.158,13.905,120.425311,22.564136
"小港",19.078,31.458,0.271,5.993,18.245,120.337736,22.565833
"仁武",25.19,34.429,0.234,3.224,11.876,120.332631,22.689056
"左營",21.231,34.274,0.288,2.032,13.662,120.292917,22.674861
"林園",23.604,28.51,0.186,2.88,7.727,120.41175,22.4795
"前金",22.423,32.797,0.321,2.895,14.465,120.288086,22.632567
"前鎮",18.694,31.788,0.432,4.016,21.609,120.307564,22.605386
"屏東",24.236,27.058,0.304,2.35,10.614,120.488033,22.673081
"恆春",22.112,16.778,0.074,1.882,2.159,120.788928,21.958069
"美濃",22.909,26.566,0.151,1.342,4.41,120.530542,22.883583
"復興",19.325,25.879,0.437,4.123,18.332,120.312017,22.608711
"楠梓",23.228,38.103,0.236,2.203,13.616,120.328289,22.733667
"鳳山",23.175,22.042,0.343,2.743,13.335,120.358083,22.627392
"潮州",23.437,33.231,0.176,1.943,6.384,120.561175,22.523108
"橋頭",20.942,28.842,0.219,2.41,10.522,120.305689,22.757506
"斗六",27.983,36.019,0.233,2.366,9.086,120.544994,23.711853
"安南",24.172,33.794,0.22,2.27,11.284,120.218333,23.048333
"朴子",24.422,45.244,0.195,2.316,8.677,120.24735,23.465308
"崙背",24.908,31.489,0.159,1.814,7.75,120.348742,23.757547
"麥寮",23.122,51.147,0.205,2.887,9.688,120.251825,23.753506
"善化",21.428,32.275,0.153,2.472,6.673,120.297142,23.115097
"新港",23.585,34.596,0.203,2.347,9.451,120.345531,23.554839
"新營",22.567,36.139,0.196,2.11,6.836,120.31725,23.305633
"嘉義",25.123,32.839,0.201,3.165,9.041,120.440833,23.462778
"臺西",24.824,31.044,0.141,3.171,7.79,120.202842,23.717533
"臺南",24.505,28.258,0.246,2.409,10.122,120.202617,22.984581
