"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",28.102,36.395,0.221,3.715,8.761,120.409653,23.925175
"南投",23.437,37.172,0.312,2.217,12.582,120.685306,23.913
"埔里",30.465,25.861,0.252,1.903,9.925,120.967903,23.968842
"竹山",29.462,34.301,0.224,2.296,8.443,120.677306,23.756389
"大里",30.249,39.348,0.348,2.575,14.47,120.677689,24.099611
"彰化",28.69,35.915,0.301,4.409,10.548,120.541519,24.066
"忠明",31.028,29.58,0.309,2.571,15.224,120.641092,24.151958
"沙鹿",32.633,27.93,0.272,2.987,12.961,120.568794,24.225628
"線西",32.8,29.082,0.242,3.06,9.738,120.469061,24.131672
"西屯",31.636,34.73,0.273,2.804,13.451,120.616917,24.162197
"豐原",32.757,28.491,0.287,2.5,10.495,120.741711,24.256586
"三重",NA,46.096,1.082,3.81,69.56,121.493806,25.072611
"土城",30.888,26.863,0.354,2.278,17.184,121.451861,24.982528
"士林",29.536,25.808,0.293,2.671,13.777,121.5145,25.105917
"大同",NA,44.229,1.182,3.427,57.638,121.513311,25.0632
"大園",31.734,33.843,0.24,3.523,14.645,121.201811,25.060344
"中山",23.939,30.119,0.488,2.88,25.731,121.526528,25.062361
"中壢",18.334,41.585,0.856,3.31,42.375,121.221667,24.953278
"古亭",30.295,30.079,0.36,2.256,19.345,121.529556,25.020608
"平鎮",30.351,32.853,0.318,3.269,16.128,121.204981,24.954208
"永和",27.957,22.876,0.54,2.591,24.32,121.516306,25.017
"汐止",31.322,24.477,0.33,2.879,18.687,121.6408,25.065669
"松山",29.579,29.25,0.353,2.888,19.726,121.578611,25.05
"板橋",28.384,32.355,0.42,2.964,20.32,121.458667,25.012972
"林口",32.701,26.402,0.252,2.817,15.512,121.365703,25.07857
"桃園",28.328,32.223,0.36,5.89,15.772,121.304417,24.995667
"基隆",31.949,21.494,0.252,2.662,11.855,121.760056,25.129167
"淡水",25.169,31.098,0.26,2.46,10.734,121.449239,25.1645
"富貴角",39.753,21.856,0.144,0.852,3.559,121.537975,25.297436
"菜寮",24.391,25.965,0.387,2.82,16.207,121.481028,25.06895
"陽明",38.009,13.635,0.147,1.85,3.325,121.529583,25.182722
"新店",31.672,23.951,0.304,2.062,12.885,121.537778,24.977222
"新莊",32.446,25.239,0.372,3.676,17.205,121.4325,25.037972
"萬里",36.837,36.979,0.196,3.236,6.929,121.689881,25.179667
"萬華",26.894,28.681,0.405,2.412,21.525,121.507972,25.046503
"龍潭",32.188,31.175,0.28,2.309,11.982,121.21635,24.863869
"觀音",30.047,39.266,0.211,3.785,9.508,121.082761,25.035503
"三義",34.299,24.524,0.178,2.445,7.825,120.758833,24.382942
"竹東",25.988,29.289,0.222,1.802,8.208,121.088903,24.740644
"苗栗",28.319,31.102,0.284,2.557,11.705,120.8202,24.565269
"湖口",30.433,28.689,0.222,2.551,11.664,121.038653,24.900142
"新竹",26.076,23.961,0.307,1.76,14.073,120.972075,24.805619
"頭份",29.423,32.01,0.244,2.5,12.504,120.898572,24.696969
"冬山",26.483,28.149,0.243,2.078,9.392,121.792928,24.632203
"宜蘭",30.857,24.189,0.251,2.371,5.292,121.746394,24.747917
"花蓮",27.182,24.971,0.208,1.783,5.566,121.599769,23.971306
"臺東",22.468,22.68,0.251,1.2,6.839,121.15045,22.755358
"關山",18.491,19.97,NA,1.826,4.187,121.161933,23.045083
"大寮",26.79,30.481,0.239,3.562,11.27,120.425311,22.564136
"小港",24.705,38.573,0.326,7.948,19.936,120.337736,22.565833
"仁武",30.044,39.006,0.279,3.597,12.496,120.332631,22.689056
"左營",28.198,37.718,0.299,2.197,13.118,120.292917,22.674861
"林園",32.789,33.81,0.192,2.882,6.871,120.41175,22.4795
"前金",29.146,39.486,0.291,3.519,13.093,120.288086,22.632567
"前鎮",26.1,34.141,0.305,5.168,16.793,120.307564,22.605386
"屏東",28.11,35.65,0.339,2.529,11.955,120.488033,22.673081
"恆春",33.643,20.795,0.108,1.683,2.27,120.788928,21.958069
"美濃",26.774,29.715,0.197,1.573,4.693,120.530542,22.883583
"復興",25.533,29.88,0.405,4.861,17.654,120.312017,22.608711
"楠梓",27.596,46.118,0.292,2.811,15.904,120.328289,22.733667
"鳳山",24.654,26.508,0.384,3.171,14.568,120.358083,22.627392
"潮州",28.074,36.482,0.174,1.91,7.07,120.561175,22.523108
"橋頭",24.512,29.805,0.259,2.881,12.001,120.305689,22.757506
"斗六",32.303,41.609,0.27,2.477,10.579,120.544994,23.711853
"安南",30.262,43.049,0.269,2.623,12.046,120.218333,23.048333
"朴子",31.578,55.902,0.233,2.635,9.124,120.24735,23.465308
"崙背",31.086,43.688,0.21,2.373,9.675,120.348742,23.757547
"麥寮",30.662,57.397,0.236,2.704,9.838,120.251825,23.753506
"善化",25.425,40.162,0.2,2.601,8.423,120.297142,23.115097
"新港",29.427,45.084,0.235,2.639,10.303,120.345531,23.554839
"新營",26.636,46.987,0.241,2.492,8.385,120.31725,23.305633
"嘉義",29.14,40.92,0.262,3.137,10.446,120.440833,23.462778
"臺西",34.036,34.784,0.193,3.166,9.203,120.202842,23.717533
"臺南",30.096,33.36,0.287,2.597,11.341,120.202617,22.984581
