"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",33.292,68.668,0.377,3.578,13.509,120.409653,23.925175
"南投",26.054,60.871,0.436,2.098,19.111,120.685306,23.913
"埔里",37.193,43.986,0.383,2.008,13.728,120.967903,23.968842
"竹山",35.734,59.727,0.352,2.333,14.792,120.677306,23.756389
"大里",32.01,62.522,0.543,2.527,22.913,120.677689,24.099611
"彰化",31.185,59.024,0.494,3.233,18.026,120.541519,24.066
"忠明",31.81,52.638,0.515,2.506,27.379,120.641092,24.151958
"沙鹿",36.736,58.05,0.384,2.545,18.487,120.568794,24.225628
"線西",36.291,61.878,0.397,3.44,17.333,120.469061,24.131672
"西屯",37.017,54.69,0.429,2.745,22.597,120.616917,24.162197
"豐原",38.619,45.946,0.406,2.328,13.223,120.741711,24.256586
"三重",NA,57.323,1.275,3.428,98.102,121.493806,25.072611
"土城",30.419,43.05,0.528,2.681,26.763,121.451861,24.982528
"士林",35.008,38.876,0.403,2.235,18.502,121.5145,25.105917
"大同",NA,58.425,1.09,2.926,64.73,121.513311,25.0632
"大園",31.406,53.448,0.336,3.209,21.627,121.201811,25.060344
"中山",25.529,43.635,0.684,2.373,36.589,121.526528,25.062361
"中壢",22.079,60.426,0.912,3.119,51.352,121.221667,24.953278
"古亭",31.902,37.773,0.514,2.085,26.378,121.529556,25.020608
"平鎮",31.21,54.007,0.475,2.547,23.626,121.204981,24.954208
"永和",29.092,38.81,0.789,2.449,37.532,121.516306,25.017
"汐止",29.644,35.64,0.462,2.975,27.455,121.6408,25.065669
"松山",29.064,39.452,0.492,2.485,27.835,121.578611,25.05
"板橋",30.306,47.092,0.597,2.955,29.584,121.458667,25.012972
"林口",38.953,48.521,0.338,2.538,18.392,121.365703,25.07857
"桃園",28.419,45.962,0.51,4.288,24.631,121.304417,24.995667
"基隆",34.447,28.593,0.367,2.486,15.833,121.760056,25.129167
"淡水",29.03,40.373,0.357,2.457,13.914,121.449239,25.1645
"富貴角",28.937,44.753,0.212,0.742,2.094,121.537975,25.297436
"菜寮",26.121,41.32,0.563,2.427,27.379,121.481028,25.06895
"陽明",47.148,17.485,0.198,1.889,2.801,121.529583,25.182722
"新店",35.999,33.171,0.428,1.969,18.599,121.537778,24.977222
"新莊",31.21,43.96,0.533,3.014,27.715,121.4325,25.037972
"萬里",41.968,45.199,0.246,2.683,7.496,121.689881,25.179667
"萬華",27.321,40.426,0.587,2.405,31.726,121.507972,25.046503
"龍潭",35.807,43.764,0.424,2.378,19.122,121.21635,24.863869
"觀音",35.3,61.059,0.31,4.317,15.252,121.082761,25.035503
"三義",42.803,40.348,0.301,1.986,10.114,120.758833,24.382942
"竹東",31.478,48.337,0.356,2.067,13.305,121.088903,24.740644
"苗栗",31.189,56.473,0.411,2.477,17.826,120.8202,24.565269
"湖口",38.466,54.603,0.34,3.021,16.852,121.038653,24.900142
"新竹",30.6,47.983,0.45,1.781,19.977,120.972075,24.805619
"頭份",33.669,51.827,0.368,2.228,16.481,120.898572,24.696969
"冬山",33.292,38.755,0.291,1.96,11.1,121.792928,24.632203
"宜蘭",38.975,38.516,0.307,1.587,6.819,121.746394,24.747917
"花蓮",34.13,32.331,0.282,1.603,7.327,121.599769,23.971306
"臺東",31.115,29.904,0.308,1.327,7.555,121.15045,22.755358
"關山",27.782,25.945,NA,2.041,4.601,121.161933,23.045083
"大寮",35.605,65.634,0.443,5.453,22.035,120.425311,22.564136
"小港",36.03,65.318,0.452,6.252,27.345,120.337736,22.565833
"仁武",39.535,71.989,0.423,3.744,21.092,120.332631,22.689056
"左營",41.387,74.591,0.457,3.262,19.607,120.292917,22.674861
"林園",42.195,64.415,0.391,4.715,16.978,120.41175,22.4795
"前金",41.047,68.1,0.462,3.011,18.256,120.288086,22.632567
"前鎮",33.378,70.119,0.533,4.385,24.402,120.307564,22.605386
"屏東",41.023,58.232,0.454,2.886,16.221,120.488033,22.673081
"恆春",43.317,34.019,0.153,1.735,2.421,120.788928,21.958069
"美濃",40.006,55.91,0.324,1.866,9.181,120.530542,22.883583
"復興",34.769,71.679,0.635,4.239,26.96,120.312017,22.608711
"楠梓",39.044,82.533,0.425,2.99,21.452,120.328289,22.733667
"鳳山",31.661,58.808,0.54,3.874,21.453,120.358083,22.627392
"潮州",41.058,66.709,0.323,2.797,11.983,120.561175,22.523108
"橋頭",33.512,64.106,0.422,3.363,18.318,120.305689,22.757506
"斗六",37.248,62.544,0.382,2.659,16.649,120.544994,23.711853
"安南",35.667,69.006,0.397,2.738,18.171,120.218333,23.048333
"朴子",40.422,81.033,0.349,2.845,11.647,120.24735,23.465308
"崙背",38.949,65.289,0.358,2.859,16.08,120.348742,23.757547
"麥寮",36.084,86.117,0.368,2.843,12.981,120.251825,23.753506
"善化",31.249,64.317,0.349,2.9,14.19,120.297142,23.115097
"新港",36.969,77.649,0.383,2.92,14.893,120.345531,23.554839
"新營",33.112,80.96,0.398,2.675,16.274,120.31725,23.305633
"嘉義",34.829,67.533,0.457,3.254,17.786,120.440833,23.462778
"臺西",44.111,67.911,0.321,3.409,12.634,120.202842,23.717533
"臺南",39.182,59.619,0.471,2.921,19.051,120.202617,22.984581
