"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",26.948,64.079,0.352,3.392,13.96,120.409653,23.925175
"南投",20.113,43.361,0.476,2.142,22.431,120.685306,23.913
"埔里",27.323,47.558,0.454,2.055,19.007,120.967903,23.968842
"竹山",26.207,51.197,0.393,2.375,17.515,120.677306,23.756389
"大里",21.532,35.884,0.524,2.451,23.853,120.677689,24.099611
"彰化",26.426,35.668,0.466,2.427,18.252,120.541519,24.066
"忠明",25.327,31.367,0.428,1.94,22.081,120.641092,24.151958
"沙鹿",31.458,32.199,0.355,2.164,15.864,120.568794,24.225628
"線西",31.957,43.238,0.384,3.283,14.848,120.469061,24.131672
"西屯",28.739,40.27,0.366,2.208,18.206,120.616917,24.162197
"豐原",27.783,31.012,0.341,1.855,13.827,120.741711,24.256586
"三重",NA,39.522,1.231,3.298,90.085,121.493806,25.072611
"土城",26.569,27.487,0.495,2.218,23.964,121.451861,24.982528
"士林",30.731,21.825,0.349,1.806,14.549,121.5145,25.105917
"大同",NA,29.793,1.073,2.725,64.393,121.513311,25.0632
"大園",34.999,33.169,0.327,3.509,20.299,121.201811,25.060344
"中山",22.186,28.415,0.564,2.217,31.629,121.526528,25.062361
"中壢",19.082,34.234,0.88,3.111,46.501,121.221667,24.953278
"古亭",26.59,26.854,0.433,1.967,22.685,121.529556,25.020608
"平鎮",28.527,33.05,0.452,3.008,21.81,121.204981,24.954208
"永和",26.375,21.309,0.612,1.988,27.138,121.516306,25.017
"汐止",27.578,21.465,0.396,2.357,23.074,121.6408,25.065669
"松山",24.441,25.175,0.422,2.664,26.924,121.578611,25.05
"板橋",23.091,26.409,0.538,2.634,27.685,121.458667,25.012972
"林口",34.369,30.057,0.312,2.152,16.145,121.365703,25.07857
"桃園",24.229,28.056,0.5,5.149,21.765,121.304417,24.995667
"基隆",31.698,26.942,0.314,1.847,11.795,121.760056,25.129167
"淡水",35.076,20.353,0.332,1.875,10.298,121.449239,25.1645
"富貴角",41.77,38.632,0.185,0.648,3.092,121.537975,25.297436
"菜寮",21.614,24.699,0.511,2.1,22.925,121.481028,25.06895
"陽明",40.024,10.824,0.193,1.511,2.292,121.529583,25.182722
"新店",26.366,20.931,0.394,1.74,17.932,121.537778,24.977222
"新莊",26.993,28.756,0.503,2.674,24.616,121.4325,25.037972
"萬里",38.57,42.837,0.227,2.12,5.662,121.689881,25.179667
"萬華",22.501,24.002,0.479,2.125,27.381,121.507972,25.046503
"龍潭",32.508,31.336,0.372,2.562,16.094,121.21635,24.863869
"觀音",33.766,38.589,0.3,4.154,11.929,121.082761,25.035503
"三義",32.876,25.233,0.281,2.096,9.581,120.758833,24.382942
"竹東",25.906,25.255,0.32,1.801,11.096,121.088903,24.740644
"苗栗",24.215,34.389,0.391,2.566,16.121,120.8202,24.565269
"湖口",35.274,34.404,0.319,2.254,12.765,121.038653,24.900142
"新竹",27.694,36.567,0.388,2.053,15.73,120.972075,24.805619
"頭份",29.173,33.1,0.322,1.574,14.024,120.898572,24.696969
"冬山",29.22,21.319,0.27,1.63,9.666,121.792928,24.632203
"宜蘭",32.09,20.265,0.307,2,6.652,121.746394,24.747917
"花蓮",27.775,21.359,0.285,1.542,8.441,121.599769,23.971306
"臺東",23.565,17.821,0.307,1.253,7.411,121.15045,22.755358
"關山",23.081,17.631,NA,1.341,5.307,121.161933,23.045083
"大寮",31.209,73.044,0.513,5.843,25.843,120.425311,22.564136
"小港",26.482,73.558,0.563,5.567,35.481,120.337736,22.565833
"仁武",28.765,68.026,0.496,3.71,24.472,120.332631,22.689056
"左營",31.381,66.728,0.498,3.32,22.212,120.292917,22.674861
"林園",36.209,85.936,0.465,5.429,22.421,120.41175,22.4795
"前金",31.591,68.794,0.527,3.356,22.192,120.288086,22.632567
"前鎮",26.794,76.387,0.645,4.056,32.597,120.307564,22.605386
"屏東",34.096,75.29,0.511,2.936,18.434,120.488033,22.673081
"恆春",41.089,11.694,0.168,1.47,2.661,120.788928,21.958069
"美濃",30.9,64.465,0.382,1.931,11.172,120.530542,22.883583
"復興",25.939,77.913,0.745,4.007,31.308,120.312017,22.608711
"楠梓",28.716,66.343,0.468,2.798,22.902,120.328289,22.733667
"鳳山",29.856,72.144,0.585,2.999,28,120.358083,22.627392
"潮州",37.907,78.287,0.437,2.763,15.84,120.561175,22.523108
"橋頭",27.328,71.154,0.463,2.903,21.568,120.305689,22.757506
"斗六",28.192,51.437,0.377,2.742,18.522,120.544994,23.711853
"安南",30.82,72.101,0.398,2.719,18.486,120.218333,23.048333
"朴子",28.586,71.292,0.342,2.952,12.843,120.24735,23.465308
"崙背",26.784,67.795,0.333,2.745,14.416,120.348742,23.757547
"麥寮",30.162,72.985,0.322,2.631,13.074,120.251825,23.753506
"善化",22.966,70.194,0.361,2.809,16.402,120.297142,23.115097
"新港",27.301,64.699,0.363,2.909,15.484,120.345531,23.554839
"新營",24.181,62.284,0.386,2.794,17.039,120.31725,23.305633
"嘉義",25.08,55.775,0.462,3.205,21.51,120.440833,23.462778
"臺西",37.723,60.926,0.259,2.611,9.26,120.202842,23.717533
"臺南",28.837,72.217,0.48,3.153,20.412,120.202617,22.984581
