"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",41.689,51.702,0.326,4.588,11.448,120.409653,23.925175
"南投",31.331,51.6,0.455,2.193,19.195,120.685306,23.913
"埔里",39.138,36.107,0.369,2.137,13.314,120.967903,23.968842
"竹山",41.098,56.145,0.34,2.412,13.461,120.677306,23.756389
"大里",33.709,47.587,0.5,2.475,20.525,120.677689,24.099611
"彰化",43.791,47.382,0.498,2.491,18.144,120.541519,24.066
"忠明",39.482,34.726,0.383,2.207,18.868,120.641092,24.151958
"沙鹿",45.822,38.819,0.303,2.232,12.71,120.568794,24.225628
"線西",46.495,45.046,0.336,3.788,12.846,120.469061,24.131672
"西屯",43.208,37.819,0.312,2.149,13.383,120.616917,24.162197
"豐原",39.767,35.908,0.31,1.834,11.108,120.741711,24.256586
"三重",NA,47.307,1.181,3.055,82.026,121.493806,25.072611
"土城",43.594,33.148,0.368,2.05,14.853,121.451861,24.982528
"士林",45.936,32.612,0.292,1.744,12.358,121.5145,25.105917
"大同",NA,48.668,1.079,2.768,62.342,121.513311,25.0632
"大園",47.472,43.185,0.277,3.108,17.029,121.201811,25.060344
"中山",33.016,32.361,0.517,1.987,27.802,121.526528,25.062361
"中壢",29.254,41.688,0.829,3.036,40.489,121.221667,24.953278
"古亭",41.035,27.434,0.38,1.856,19.307,121.529556,25.020608
"平鎮",45.888,40.842,0.389,3.126,17.428,121.204981,24.954208
"永和",40.708,27.989,0.539,2.026,21.328,121.516306,25.017
"汐止",39.616,30.494,0.356,2.535,19.774,121.6408,25.065669
"松山",37.963,32.459,0.376,2.418,21.433,121.578611,25.05
"板橋",37.691,34.603,0.445,2.385,21.102,121.458667,25.012972
"林口",47.979,39.809,0.273,2.221,14.173,121.365703,25.07857
"桃園",38.929,36.087,0.429,4.386,16.403,121.304417,24.995667
"基隆",46.745,26.433,0.26,1.754,9.118,121.760056,25.129167
"淡水",40.392,34.82,0.305,1.763,9.051,121.449239,25.1645
"富貴角",57.801,56.633,0.161,0.509,1.751,121.537975,25.297436
"菜寮",35.586,38.6,0.439,2.217,18.733,121.481028,25.06895
"陽明",54.681,14.091,0.172,1.506,1.728,121.529583,25.182722
"新店",40.161,34.251,0.347,1.73,13.917,121.537778,24.977222
"新莊",42.885,32.279,0.397,2.413,17.946,121.4325,25.037972
"萬里",56.647,56.213,0.203,2.907,5.133,121.689881,25.179667
"萬華",35.638,32.788,0.428,2.062,24.756,121.507972,25.046503
"龍潭",48.771,31.565,0.314,2.558,11.543,121.21635,24.863869
"觀音",49.278,49.062,0.253,4.283,10.591,121.082761,25.035503
"三義",45.845,30.878,0.237,2.705,7.826,120.758833,24.382942
"竹東",39.622,30.988,0.269,1.592,9.075,121.088903,24.740644
"苗栗",38.799,54.432,0.337,2.531,12.735,120.8202,24.565269
"湖口",50.479,39.985,0.271,2.448,10.101,121.038653,24.900142
"新竹",43.696,36.527,0.326,2.114,10.935,120.972075,24.805619
"頭份",45.195,38.218,0.291,2.116,12.66,120.898572,24.696969
"冬山",42.191,29.333,0.247,1.606,9.287,121.792928,24.632203
"宜蘭",43.7,31.622,0.267,1.658,5.031,121.746394,24.747917
"花蓮",37.761,31.133,0.283,1.505,7.942,121.599769,23.971306
"臺東",33.961,35.066,0.295,1.2,6.257,121.15045,22.755358
"關山",31.343,29.773,NA,1.91,4.639,121.161933,23.045083
"大寮",43.792,64.227,0.44,4.977,17.923,120.425311,22.564136
"小港",43.722,70.593,0.467,6.652,24.662,120.337736,22.565833
"仁武",47.102,73.208,0.443,4.515,20.153,120.332631,22.689056
"左營",48.901,79.243,0.445,3.797,16.812,120.292917,22.674861
"林園",53.863,69.707,0.381,4.152,12.122,120.41175,22.4795
"前金",49.668,76.61,0.458,3.437,15.67,120.288086,22.632567
"前鎮",44.382,76.44,0.568,5.138,25.64,120.307564,22.605386
"屏東",47.278,61.369,0.484,3.068,13.665,120.488033,22.673081
"恆春",50.826,25.897,0.167,2.313,3.067,120.788928,21.958069
"美濃",43.966,61.082,0.347,1.895,7.842,120.530542,22.883583
"復興",43.767,71.135,0.644,4.99,23.835,120.312017,22.608711
"楠梓",45.873,83.228,0.433,3.111,18.006,120.328289,22.733667
"鳳山",45.029,64.467,0.531,3.678,20.344,120.358083,22.627392
"潮州",45.895,65.047,0.334,2.437,9,120.561175,22.523108
"橋頭",44.194,75.214,0.422,3.418,16.171,120.305689,22.757506
"斗六",42.257,58.042,0.382,3.19,16.301,120.544994,23.711853
"安南",48.653,77.044,0.376,3.003,15.188,120.218333,23.048333
"朴子",45.07,83.772,0.324,2.95,10.162,120.24735,23.465308
"崙背",41.651,59.248,0.303,2.881,11.58,120.348742,23.757547
"麥寮",43.106,95.204,0.325,3.264,12.211,120.251825,23.753506
"善化",39.857,68.468,0.338,3.376,13.469,120.297142,23.115097
"新港",43.968,65.665,0.341,3.242,12.503,120.345531,23.554839
"新營",39.658,70.888,0.367,3.073,14.179,120.31725,23.305633
"嘉義",39.624,67.228,0.454,4.756,20.13,120.440833,23.462778
"臺西",52.842,57.356,0.261,3.531,10.214,120.202842,23.717533
"臺南",47.287,67.499,0.443,3.478,16.315,120.202617,22.984581
