"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",30.222,48.269,0.222,3.626,7.94,120.409653,23.925175
"南投",24.514,35.747,0.338,1.991,13.143,120.685306,23.913
"埔里",31.091,26.472,0.25,1.931,9.793,120.967903,23.968842
"竹山",29.441,38.013,0.224,2.085,8.315,120.677306,23.756389
"大里",30.853,43.838,0.383,2.482,15.122,120.677689,24.099611
"彰化",35.249,44.226,0.393,3.288,13.299,120.541519,24.066
"忠明",31.966,32.97,0.323,2.346,15.235,120.641092,24.151958
"沙鹿",34.169,38.442,0.262,2.833,13.066,120.568794,24.225628
"線西",35.582,37.032,0.26,3.068,9.492,120.469061,24.131672
"西屯",32.56,38.315,0.275,2.409,12.844,120.616917,24.162197
"豐原",32.138,34.365,0.281,2.323,10.749,120.741711,24.256586
"三重",NA,42.233,1.05,3.58,74.984,121.493806,25.072611
"土城",25.451,31.242,0.37,2.093,18.775,121.451861,24.982528
"士林",29.104,27.978,0.267,2.125,12.392,121.5145,25.105917
"大同",NA,43.394,1.15,2.95,59.379,121.513311,25.0632
"大園",32.969,40.862,0.239,3.092,13.728,121.201811,25.060344
"中山",21.749,28.475,0.458,2.311,24.326,121.526528,25.062361
"中壢",17.914,41.455,0.862,2.965,42.49,121.221667,24.953278
"古亭",25.096,26.219,0.352,1.889,18.792,121.529556,25.020608
"平鎮",30.398,41.681,0.319,2.867,16.421,121.204981,24.954208
"永和",22.738,22.422,0.618,1.98,25.93,121.516306,25.017
"汐止",28.601,25.048,0.315,2.296,16.952,121.6408,25.065669
"松山",25.204,28.578,0.331,2.63,19.657,121.578611,25.05
"板橋",24.631,35.316,0.418,2.856,20.083,121.458667,25.012972
"林口",31.759,33.142,0.24,2.705,14.093,121.365703,25.07857
"桃園",25.16,35.465,0.379,4.853,16.369,121.304417,24.995667
"基隆",29.203,22.831,0.224,2.117,10.183,121.760056,25.129167
"淡水",26.865,31.779,0.245,2.33,8.468,121.449239,25.1645
"富貴角",36.58,43.817,0.12,0.918,2.983,121.537975,25.297436
"菜寮",23.764,29.781,0.387,2.378,17.449,121.481028,25.06895
"陽明",35.383,13.236,0.128,1.76,2.645,121.529583,25.182722
"新店",25.962,27.666,0.292,1.773,12.582,121.537778,24.977222
"新莊",27.213,28.015,0.386,3.649,18.224,121.4325,25.037972
"萬里",35.16,45.049,0.173,3.007,5.941,121.689881,25.179667
"萬華",22.37,30.769,0.401,2.093,22.737,121.507972,25.046503
"龍潭",33.19,33.319,0.298,2.608,12.079,121.21635,24.863869
"觀音",34.464,48.112,0.215,3.463,8.286,121.082761,25.035503
"三義",33.933,32.81,0.212,2.633,8.096,120.758833,24.382942
"竹東",25.967,32.332,0.242,1.812,8.936,121.088903,24.740644
"苗栗",28.559,53.388,0.298,2.382,11.555,120.8202,24.565269
"湖口",35.038,38.383,0.222,2.614,9.736,121.038653,24.900142
"新竹",29.301,33.392,0.308,2.411,11.611,120.972075,24.805619
"頭份",32.344,35.951,0.248,2.595,11.596,120.898572,24.696969
"冬山",22.285,28.401,0.199,1.924,8.847,121.792928,24.632203
"宜蘭",24.537,29.984,0.198,1.935,5.376,121.746394,24.747917
"花蓮",20.52,25.67,0.171,1.581,5.021,121.599769,23.971306
"臺東",17.626,32.776,0.224,1.25,5.969,121.15045,22.755358
"關山",12.461,20.945,NA,1.465,3.643,121.161933,23.045083
"大寮",28.418,40.685,0.305,4.197,13.624,120.425311,22.564136
"小港",27.064,48.152,0.347,7.091,20.098,120.337736,22.565833
"仁武",32.685,46.314,0.308,3.39,14.108,120.332631,22.689056
"左營",31.166,47.196,0.31,2.885,12.897,120.292917,22.674861
"林園",34.293,38.885,0.234,3.304,7.871,120.41175,22.4795
"前金",32.822,45.019,0.337,2.954,12.637,120.288086,22.632567
"前鎮",27.634,47.445,0.465,4.512,21.075,120.307564,22.605386
"屏東",31.616,36.707,0.347,2.365,10.501,120.488033,22.673081
"恆春",26.182,17.2,0.093,1.604,2.747,120.788928,21.958069
"美濃",29.206,35.552,0.216,1.496,4.975,120.530542,22.883583
"復興",27.862,41.309,0.505,4.328,19.427,120.312017,22.608711
"楠梓",31.114,47.781,0.305,2.417,14.223,120.328289,22.733667
"鳳山",30.725,38.63,0.419,2.964,15.001,120.358083,22.627392
"潮州",29.425,38.387,0.221,2.093,7.23,120.561175,22.523108
"橋頭",28.614,44.537,0.289,2.355,11.506,120.305689,22.757506
"斗六",32.907,39.319,0.279,2.771,10.595,120.544994,23.711853
"安南",33.281,48.147,0.269,2.424,11.259,120.218333,23.048333
"朴子",33.268,60.243,0.24,2.543,8.764,120.24735,23.465308
"崙背",30.583,47.244,0.215,2.229,9.248,120.348742,23.757547
"麥寮",31.31,67.668,0.236,2.867,9.823,120.251825,23.753506
"善化",28.453,41.92,0.215,2.375,9.219,120.297142,23.115097
"新港",32.043,46.739,0.249,2.194,9.892,120.345531,23.554839
"新營",29.793,50.319,0.262,2.394,9.039,120.31725,23.305633
"嘉義",31.061,44.375,0.309,3.224,12.03,120.440833,23.462778
"臺西",35.816,33.644,0.183,3.209,8.375,120.202842,23.717533
"臺南",32.807,46.893,0.315,2.634,11.031,120.202617,22.984581
