"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",30.544,55.428,0.304,3.511,10.9,120.409653,23.925175
"南投",24.925,55.373,0.392,2.255,16.911,120.685306,23.913
"埔里",36.129,39.399,0.332,1.974,12.095,120.967903,23.968842
"竹山",33.937,53.125,0.292,2.43,12.453,120.677306,23.756389
"大里",30.911,58.34,0.466,2.806,19.336,120.677689,24.099611
"彰化",30.784,56.16,0.405,3.854,14.496,120.541519,24.066
"忠明",32.663,47.018,0.426,2.838,21.174,120.641092,24.151958
"沙鹿",35.736,49.224,0.354,3.009,16.335,120.568794,24.225628
"線西",35.987,51.196,0.329,3.121,13.398,120.469061,24.131672
"西屯",35.863,52.723,0.363,2.818,18.118,120.616917,24.162197
"豐原",36.411,43.475,0.391,2.652,13.011,120.741711,24.256586
"三重",NA,62.296,1.187,3.85,85.547,121.493806,25.072611
"土城",33.953,45.758,0.49,3.024,23.832,121.451861,24.982528
"士林",35.008,41.097,0.374,2.534,16.322,121.5145,25.105917
"大同",NA,61.09,1.104,3.359,60.739,121.513311,25.0632
"大園",33.594,52.368,0.326,3.482,18.956,121.201811,25.060344
"中山",28.673,47.158,0.61,2.81,32.065,121.526528,25.062361
"中壢",23.074,61.387,0.936,3.345,49.103,121.221667,24.953278
"古亭",35.607,43.335,0.465,2.466,23.242,121.529556,25.020608
"平鎮",34.751,55.636,0.422,3.045,20.554,121.204981,24.954208
"永和",32.183,41.072,0.719,2.718,32.609,121.516306,25.017
"汐止",32.886,39.003,0.434,3.747,25.231,121.6408,25.065669
"松山",32.826,43.347,0.455,3.484,25.166,121.578611,25.05
"板橋",32.199,50.53,0.559,3.515,26.545,121.458667,25.012972
"林口",39.148,52.043,0.333,3.241,18.554,121.365703,25.07857
"桃園",29.606,50.626,0.464,5.642,22.001,121.304417,24.995667
"基隆",36.349,32.113,0.345,2.677,14.842,121.760056,25.129167
"淡水",28.072,42.524,0.348,2.592,13.182,121.449239,25.1645
"富貴角",39.375,42.645,0.203,1.108,4.16,121.537975,25.297436
"菜寮",26.764,42.667,0.5,2.803,22.657,121.481028,25.06895
"陽明",47.753,21.574,0.203,1.95,3.712,121.529583,25.182722
"新店",38.752,38.074,0.395,2.334,16.541,121.537778,24.977222
"新莊",34.323,45.671,0.515,3.689,25.565,121.4325,25.037972
"萬里",42.457,47.642,0.251,3.147,7.666,121.689881,25.179667
"萬華",31.316,43.35,0.522,2.666,27.055,121.507972,25.046503
"龍潭",38.167,46.822,0.387,2.567,16.429,121.21635,24.863869
"觀音",34.99,60.561,0.288,3.969,13.565,121.082761,25.035503
"三義",39.288,38.919,0.265,2.444,9.89,120.758833,24.382942
"竹東",30.128,46.317,0.325,2.062,11.437,121.088903,24.740644
"苗栗",31.729,52.701,0.365,2.685,14.604,120.8202,24.565269
"湖口",37.99,49.725,0.311,3.078,14.753,121.038653,24.900142
"新竹",30.832,43.574,0.41,1.857,17.457,120.972075,24.805619
"頭份",32.343,48.408,0.323,2.462,14.859,120.898572,24.696969
"冬山",31.912,42.036,0.294,1.993,10.524,121.792928,24.632203
"宜蘭",37.117,40.948,0.296,1.746,6.607,121.746394,24.747917
"花蓮",32.033,33.235,0.257,1.686,6.546,121.599769,23.971306
"臺東",27.671,29.399,0.3,1.3,7.379,121.15045,22.755358
"關山",25.088,25.73,NA,2.108,4.718,121.161933,23.045083
"大寮",30.873,52.876,0.342,4.337,17.239,120.425311,22.564136
"小港",31.464,53.773,0.341,7.584,21.863,120.337736,22.565833
"仁武",35.69,57.428,0.342,3.784,16.337,120.332631,22.689056
"左營",36.986,60.763,0.339,3.258,14.178,120.292917,22.674861
"林園",38.415,47.282,0.284,3.861,11.113,120.41175,22.4795
"前金",37.258,56.235,0.344,3.229,13.815,120.288086,22.632567
"前鎮",30.514,54.633,0.382,4.919,19.158,120.307564,22.605386
"屏東",35.805,52.311,0.385,2.953,14.132,120.488033,22.673081
"恆春",39.468,33.605,0.141,1.624,2.323,120.788928,21.958069
"美濃",35.358,49.686,0.277,2.026,7.858,120.530542,22.883583
"復興",31.815,53.176,0.465,4.752,20.502,120.312017,22.608711
"楠梓",35.138,69.185,0.354,3.039,17.301,120.328289,22.733667
"鳳山",30.215,46.902,0.462,3.887,18.132,120.358083,22.627392
"潮州",34.623,58.003,0.265,2.52,9.978,120.561175,22.523108
"橋頭",29.806,49.684,0.339,3.197,14.47,120.305689,22.757506
"斗六",35.601,56.694,0.336,2.789,14.174,120.544994,23.711853
"安南",33.576,62.087,0.322,2.454,13.828,120.218333,23.048333
"朴子",37.157,71.552,0.31,2.97,10.624,120.24735,23.465308
"崙背",36.226,59.095,0.297,2.808,11.648,120.348742,23.757547
"麥寮",33.624,73.61,0.306,2.923,11.491,120.251825,23.753506
"善化",27.845,55.393,0.294,2.851,11.951,120.297142,23.115097
"新港",33.821,65.094,0.316,2.798,12.136,120.345531,23.554839
"新營",30.155,66.355,0.332,2.701,12.87,120.31725,23.305633
"嘉義",32.955,58.827,0.374,3.361,14.361,120.440833,23.462778
"臺西",40.196,61.642,0.267,3.231,10.878,120.202842,23.717533
"臺南",36.821,50.553,0.363,2.868,14,120.202617,22.984581
