"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",25.487,32.087,0.187,3.502,7.138,120.409653,23.925175
"南投",21.93,30.177,0.288,2.089,11.061,120.685306,23.913
"埔里",28.302,25.013,0.238,1.887,9.457,120.967903,23.968842
"竹山",26.242,31.866,0.204,2.235,7.499,120.677306,23.756389
"大里",26.943,36.9,0.342,2.594,13.578,120.677689,24.099611
"彰化",27.125,34.473,0.277,3.927,9.048,120.541519,24.066
"忠明",27.598,25.984,0.306,2.324,14.822,120.641092,24.151958
"沙鹿",28.66,27.018,0.255,2.721,12.216,120.568794,24.225628
"線西",29.766,25.15,0.216,2.663,8.682,120.469061,24.131672
"西屯",27.602,31.297,0.263,2.613,13.917,120.616917,24.162197
"豐原",30.121,28.703,0.333,2.548,9.781,120.741711,24.256586
"三重",NA,42.242,1.057,3.646,73.277,121.493806,25.072611
"土城",25.369,26.366,0.338,2.438,17.448,121.451861,24.982528
"士林",24.836,25.248,0.271,2.423,13.37,121.5145,25.105917
"大同",NA,42.797,1.184,3.217,55.656,121.513311,25.0632
"大園",27.359,32.868,0.237,3.313,13.951,121.201811,25.060344
"中山",18.646,27.688,0.5,2.778,26.121,121.526528,25.062361
"中壢",15.413,39.139,0.871,3.041,42.675,121.221667,24.953278
"古亭",24.464,26.062,0.342,2.227,18.803,121.529556,25.020608
"平鎮",26.095,31.902,0.294,3.064,15.282,121.204981,24.954208
"永和",22.269,22.949,0.554,2.423,24.726,121.516306,25.017
"汐止",25.597,22.34,0.309,2.735,17.755,121.6408,25.065669
"松山",23.239,26.803,0.344,2.901,20.044,121.578611,25.05
"板橋",23.553,33.656,0.399,3.288,19.854,121.458667,25.012972
"林口",27.407,27.889,0.236,2.957,14.984,121.365703,25.07857
"桃園",24.369,31.598,0.33,5.53,15.938,121.304417,24.995667
"基隆",25.236,19.85,0.234,2.519,11.8,121.760056,25.129167
"淡水",21.653,28.366,0.242,2.468,10.145,121.449239,25.1645
"富貴角",31.234,20.272,0.129,1.017,3.644,121.537975,25.297436
"菜寮",21.319,22.966,0.372,2.77,16.509,121.481028,25.06895
"陽明",31.372,13.238,0.127,1.846,3.121,121.529583,25.182722
"新店",26.352,23.178,0.281,1.998,11.875,121.537778,24.977222
"新莊",26.087,24.312,0.356,4.082,17.477,121.4325,25.037972
"萬里",29.667,30.788,0.173,3.187,6.635,121.689881,25.179667
"萬華",21.262,27.621,0.401,2.33,21.106,121.507972,25.046503
"龍潭",28.394,30.47,0.271,2.501,11.911,121.21635,24.863869
"觀音",26.195,37.931,0.2,3.484,9.432,121.082761,25.035503
"三義",31.461,25.36,0.186,2.556,7.157,120.758833,24.382942
"竹東",22.852,30.653,0.222,1.812,8.439,121.088903,24.740644
"苗栗",25.48,38.773,0.273,2.372,10.774,120.8202,24.565269
"湖口",27.859,30.239,0.204,2.884,12.394,121.038653,24.900142
"新竹",23.043,23.332,0.298,2.176,12.85,120.972075,24.805619
"頭份",26.925,30.721,0.234,2.704,11.745,120.898572,24.696969
"冬山",22.646,28.584,0.238,2.316,10.156,121.792928,24.632203
"宜蘭",26.771,25.557,0.229,2.89,5.831,121.746394,24.747917
"花蓮",22.893,25.438,0.185,1.792,5.416,121.599769,23.971306
"臺東",18.559,23.723,0.253,1.264,7.224,121.15045,22.755358
"關山",15.805,21.13,NA,1.737,4.306,121.161933,23.045083
"大寮",23.133,28.214,0.25,4.229,12.204,120.425311,22.564136
"小港",21.099,32.82,0.323,7.187,20.091,120.337736,22.565833
"仁武",26.859,33.4,0.266,3.274,12.405,120.332631,22.689056
"左營",23.556,33.837,0.312,2.375,14.265,120.292917,22.674861
"林園",28.374,31.013,0.184,2.661,6.648,120.41175,22.4795
"前金",24.688,32.79,0.323,3.235,14.761,120.288086,22.632567
"前鎮",21.062,31.11,0.412,4.361,20.732,120.307564,22.605386
"屏東",25.407,27.524,0.326,2.175,10.986,120.488033,22.673081
"恆春",28.606,17.264,0.095,1.771,2.252,120.788928,21.958069
"美濃",24.347,25.197,0.172,1.392,4.253,120.530542,22.883583
"復興",21.702,25.97,0.431,4.297,18.307,120.312017,22.608711
"楠梓",24.011,38.592,0.273,2.537,15.621,120.328289,22.733667
"鳳山",23.492,22.514,0.375,2.825,14.135,120.358083,22.627392
"潮州",25.571,32.537,0.173,1.898,6.337,120.561175,22.523108
"橋頭",22.389,26.571,0.246,2.548,11.541,120.305689,22.757506
"斗六",29.449,34.015,0.252,2.416,9.501,120.544994,23.711853
"安南",26.041,34.919,0.257,2.431,12.128,120.218333,23.048333
"朴子",27.391,47.618,0.219,2.42,8.988,120.24735,23.465308
"崙背",27.686,32.164,0.179,1.931,8.002,120.348742,23.757547
"麥寮",26.59,51.132,0.226,2.582,9.633,120.251825,23.753506
"善化",23.273,32.479,0.177,2.387,7.501,120.297142,23.115097
"新港",26.229,35.498,0.217,2.339,9.454,120.345531,23.554839
"新營",24.516,36.608,0.221,2.214,7.152,120.31725,23.305633
"嘉義",26.81,33.324,0.226,3.133,9.411,120.440833,23.462778
"臺西",29.228,28.355,0.166,2.926,8.031,120.202842,23.717533
"臺南",26.138,28.969,0.272,2.384,10.815,120.202617,22.984581
