"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",28.053,55.08,0.381,3.856,13.649,120.409653,23.925175
"南投",18.425,52.378,0.489,2.264,24.904,120.685306,23.913
"埔里",24.512,38.371,0.452,2.077,17.255,120.967903,23.968842
"竹山",23.899,55.285,0.416,2.071,18.016,120.677306,23.756389
"大里",20.553,45.861,0.571,2.336,26.969,120.677689,24.099611
"彰化",24.943,45.162,0.487,2.498,19.599,120.541519,24.066
"忠明",24.207,37.642,0.487,2.073,26.101,120.641092,24.151958
"沙鹿",31.016,41.621,0.375,2.038,16.783,120.568794,24.225628
"線西",31.69,49.457,0.403,3.315,16.156,120.469061,24.131672
"西屯",29.983,45.221,0.407,2.223,20.425,120.616917,24.162197
"豐原",27.204,33.737,0.373,1.944,14.161,120.741711,24.256586
"三重",NA,47.333,1.282,3.35,97.414,121.493806,25.072611
"土城",27.607,33.242,0.519,2.275,24.115,121.451861,24.982528
"士林",32.24,28.245,0.374,1.865,15.92,121.5145,25.105917
"大同",NA,44.15,1.075,2.95,68.496,121.513311,25.0632
"大園",35.639,41.652,0.334,3.918,19.6,121.201811,25.060344
"中山",22.293,33.952,0.633,2.335,36.208,121.526528,25.062361
"中壢",19.976,44.851,0.822,2.919,46.632,121.221667,24.953278
"古亭",27.267,30.195,0.482,1.958,25.718,121.529556,25.020608
"平鎮",28.187,41.686,0.472,2.629,23.337,121.204981,24.954208
"永和",26.921,28.984,0.663,2.115,31.418,121.516306,25.017
"汐止",28.288,29.12,0.443,2.389,24.927,121.6408,25.065669
"松山",24.845,31.156,0.473,2.391,28.88,121.578611,25.05
"板橋",25.492,33.849,0.564,2.56,27.78,121.458667,25.012972
"林口",35.197,36.134,0.327,2.224,16.726,121.365703,25.07857
"桃園",26.554,34.719,0.475,4.658,21.502,121.304417,24.995667
"基隆",33.003,27.992,0.359,2.144,14.092,121.760056,25.129167
"淡水",30.657,29.389,0.345,1.916,11.168,121.449239,25.1645
"富貴角",36.091,46.796,0.218,0.593,3.063,121.537975,25.297436
"菜寮",24.111,32.242,0.534,2.323,25.227,121.481028,25.06895
"陽明",42.375,11.721,0.205,1.536,2.066,121.529583,25.182722
"新店",29.532,25.567,0.437,1.847,19.627,121.537778,24.977222
"新莊",28.261,33.206,0.513,2.479,24.882,121.4325,25.037972
"萬里",41.163,46.045,0.251,2.238,6.113,121.689881,25.179667
"萬華",21.852,30.05,0.537,2.306,31.162,121.507972,25.046503
"龍潭",32.384,35.586,0.4,2.374,16.972,121.21635,24.863869
"觀音",33.628,49.604,0.306,4.084,12.805,121.082761,25.035503
"三義",32.511,30.136,0.303,1.75,10.447,120.758833,24.382942
"竹東",27.572,32.198,0.351,1.859,12.527,121.088903,24.740644
"苗栗",24.989,44.648,0.422,2.51,18.134,120.8202,24.565269
"湖口",36.085,42.356,0.339,2.497,12.999,121.038653,24.900142
"新竹",28.439,39.973,0.419,2.021,17.272,120.972075,24.805619
"頭份",30.198,40.98,0.362,2.011,16.179,120.898572,24.696969
"冬山",31.313,27.755,0.298,1.584,10.632,121.792928,24.632203
"宜蘭",33.897,28.523,0.333,1.56,7.734,121.746394,24.747917
"花蓮",29.093,24.969,0.322,1.571,9.473,121.599769,23.971306
"臺東",27.528,21.713,0.334,1.239,8.203,121.15045,22.755358
"關山",25.815,20.706,NA,1.811,5.746,121.161933,23.045083
"大寮",26.953,70.055,0.518,4.654,26.632,120.425311,22.564136
"小港",24.257,74.879,0.593,5.32,36.151,120.337736,22.565833
"仁武",27.183,74.366,0.511,3.289,25.866,120.332631,22.689056
"左營",28.942,75.755,0.522,3.057,23.206,120.292917,22.674861
"林園",31.586,79.255,0.503,5.321,24.494,120.41175,22.4795
"前金",28.972,73.204,0.55,2.814,23.172,120.288086,22.632567
"前鎮",24.729,78.618,0.656,3.722,31.007,120.307564,22.605386
"屏東",29.583,70.331,0.527,2.704,19.449,120.488033,22.673081
"恆春",43.257,21.278,0.183,1.506,2.59,120.788928,21.958069
"美濃",28.008,62.75,0.397,1.733,11.234,120.530542,22.883583
"復興",23.225,78.773,0.776,3.861,33.385,120.312017,22.608711
"楠梓",27.477,77.828,0.485,2.563,23.098,120.328289,22.733667
"鳳山",23.37,78.547,0.615,3.649,29.466,120.358083,22.627392
"潮州",32.244,78.412,0.439,2.534,15.812,120.561175,22.523108
"橋頭",24.847,71.022,0.489,2.813,22.182,120.305689,22.757506
"斗六",26.07,55.647,0.414,2.52,19.946,120.544994,23.711853
"安南",28.955,71.749,0.419,2.496,18.516,120.218333,23.048333
"朴子",31.739,72.934,0.356,2.772,12.351,120.24735,23.465308
"崙背",30.029,62.79,0.368,2.901,14.531,120.348742,23.757547
"麥寮",31.627,68.363,0.339,2.675,12.488,120.251825,23.753506
"善化",23.276,64.306,0.39,2.735,17.208,120.297142,23.115097
"新港",28.77,67.998,0.394,2.618,15.169,120.345531,23.554839
"新營",24.355,72.91,0.414,2.525,18.403,120.31725,23.305633
"嘉義",23.366,63.864,0.502,3.236,22.688,120.440833,23.462778
"臺西",39.098,54.517,0.295,2.712,10.019,120.202842,23.717533
"臺南",28.333,67.75,0.504,2.674,20.494,120.202617,22.984581
